name,area,category,source_type,program_name,episode,broadcast_date,source_title,source_url,kakao_place_id,address,phone,lat,lng,status,review_reason,suggested_slug,notes
제일분식,기장,분식/길거리,broadcast,생활의 달인,1024회 은둔식달,2026-03-30,생활의 달인 은둔식달,https://itsdwayne.co.kr/jeil-bunsik/,,부산 기장군 장안읍 좌천로 38,051-727-0132,,,ALREADY,이미 운영 공개(200)·sitemap 확인(v1 READY→정정),saengdal-gijang-jeil-bunsik,"이미 등록·공개. 60년전통 군만두 3500원/장병희달인/좌천역앞. v1 제안 slug(jeilbunsik)→실제 jeil-bunsik"
스시바시쿠,광안리,일식,broadcast,생활의 달인,1027회 은둔식달,2026-04-20,생활의 달인 은둔식달,https://toogoo.co.kr/entry/생활의달인-1027회-출연-맛집-정리,,부산 수영구 민락동 168-13,0507-1384-6223,,,ALREADY,이미 운영 공개(200)·sitemap 확인(v1 READY→정정),saengdal-suyeong-sushibashiku,"이미 등록·공개. 유자잿방어·성게알한우초밥. 신상. v1 제안 slug(gwangalli)→실제 suyeong"
슌사이쿠보 화명,기타,일식,broadcast,생활의 달인,1027회 은둔식달,2026-04-20,생활의 달인 은둔식달,https://toogoo.co.kr/entry/생활의달인-1027회-출연-맛집-정리,,부산 북구 양달로4번길 17 금샘빌딩 1층,0507-1315-2959,,,ALREADY,이미 운영 공개(200)·sitemap 확인(v1 READY→정정),saengdal-bukgu-shunsaikubo,"이미 등록·공개. 나고야식 히츠마부시. 신상"
일광당,기장,분식/길거리,broadcast,생활의 달인,은둔식달 기장만두 양대산맥,2026-04-06,생활의 달인 은둔식달,https://news.nate.com/view/20260406n36201,,부산 기장군 일광읍,,,,ALREADY,이미 운영 공개(200)·sitemap saengdal-gijang-ilgwangdang(v2 신규확인),saengdal-gijang-ilgwangdang,"30년전통 왕만두·찐빵. 제일분식과 함께 기장만두 양대산맥. 이미 등록"
신창국밥 본점,기타,돼지국밥,broadcast,미친맛집(넷플릭스),시즌4 11화,,미친맛집: 미식가 친구의 맛집,https://histale.com/i/넷플릭스-미친맛집-식당-리스트/A,7979137,부산 서구 보수대로 53,051-244-1112,35.1009583984265,129.022588312598,ALREADY,이미 운영 공개(200)·register-sinchang 등록,michinmatjip-seogu-sinchang-gukbap,"운영 200. 등록대상 제외. 서구=기타area"
송헌집,광안리,고기,guide,미쉐린 가이드 부산 2026,빕구르망,,미쉐린 가이드,https://guide.michelin.com/kr/ko/article/michelin-guide-ceremony/korea-bib-gourmand-2026,1559134124,부산 수영구 민락로19번길 18,,35.156552,129.121438,ALREADY,이미 운영 공개(200)·guide트랙,michelin-gwangalli-songheonjip,"운영 200. 등록대상 제외. 방송아님(가이드)"
평양집,기타,한식,guide,미쉐린 가이드 부산 2026,빕구르망,,미쉐린 가이드,https://guide.michelin.com/kr/ko/article/michelin-guide-ceremony/korea-bib-gourmand-2026,12293207,부산 북구 금곡대로20번길 21,051-331-5455,35.212098,129.005911,ALREADY,이미 운영 공개(200)·guide트랙,michelin-bukgu-pyeongyangjip,"운영 200. 등록대상 제외. 북구=기타area"
뫼밀집,해운대,한식,guide,미쉐린 가이드 부산 2026,빕구르망,,미쉐린 가이드,https://guide.michelin.com/kr/ko/article/michelin-guide-ceremony/korea-bib-gourmand-2026,973360722,부산 해운대구 마린시티3로 23,051-744-9944,35.156647,129.146931,ALREADY,이미 운영 공개(200)·register-moemiljip 등록·guide트랙,michelin-haeundae-moemiljip,"운영 200. 등록대상 제외"
(상호미상) 하단동 밀면,기타,밀면,broadcast,생활의 달인,1032회 은둔식달,2026-05-25,생활의 달인 은둔식달,https://www.topstarnews.net/news/articleView.html?idxno=16070969,,부산 사하구 하단동(하단역~당리역),,,,REVIEW,상호 미특정(기사 비공개)·원조가야밀면과 동일가능,,"물밀면·비빔밀면·찐만두. 아래 원조가야밀면과 동일 식당 가능성. 상호확정 필요. 사하구=기타area"
원조가야밀면,기타,밀면,broadcast,생활의 달인,은둔식달 밀면달인,,생활의 달인 은둔식달,https://yp.jobemma.com/375,,부산 사하구 낙동대로451번길 33,,,,REVIEW,하단동밀면(1032회)과 동일가능·방송일 미확정·DB중복 재확인,saengdal-saha-wonjo-gaya-milmyeon,"김창구달인 50년 밀면. sitemap gaya 미존재(미등록). 하단동밀면과 동일 식당 가능성·apply전 중복확인 필수"
