priority_rank,priority_reason,id,slug,name,area,address,main_menu,price_text,kakao_map_url,known_issue,selected_for_top15
1,"score=4; 강제포함; flags=kakao검색링크,가격변동메뉴",081ea8e9-c0e1-49b2-bcc8-90369c730855,sokssiwonhan-daegutang-haeundae,속씨원한 대구탕 해운대 본점,해운대,부산 해운대구 해운대로570번길 11 2층,대구탕,"대구탕 14,000원",https://map.kakao.com/?urlX=990988.0000004247&urlY=467668.00000001094&urlLevel=3&itemId=13299874&q=%EC%86%8D%EC%94%A8%EC%9B%90%ED%95%9C%20%EB%8C%80%EA%B5%AC%ED%83%95%20%ED%95%B4%EC%9A%B4%EB%8C%80%20%EB%B3%B8%EC%A0%90&srcid=13299874&map_type=TYPE_MAP,"kakao검색링크,가격변동메뉴",true
2,"score=3; 강제포함; flags=가격변동메뉴,최근방송",27629e61-cd14-4f00-a838-3f97298b12e1,hibab-cheongsa-hoe-center,청사포 도희네 조개구이,해운대,부산 해운대구 청사포로 157,모듬조개구이,"모듬조개구이 40,000원~",https://place.map.kakao.com/510744836,"가격변동메뉴,최근방송",true
3,"score=2; 강제포함; flags=유명(trust),최근방송",f6255fb2-9255-4d60-9707-f5d050345b10,saengdal-seomyeon-dammiok,담미옥,서면,부산 부산진구 복지로 15 개금포르투나 103호,평양냉면,"평양냉면(물) 13,000원 / 녹두전 8,000원",,"유명(trust),최근방송",true
4,score=2; 강제포함; flags=price모호,b159834b-1ebe-467e-aecc-e3f24fc4675b,saengdal-yeongdo-sato-bunsik,사또분식,영도,부산 영도구 절영로35번길 39,당면 비빔김밥,메뉴별 상이 (가격 확인 필요),https://place.map.kakao.com/9808354,price모호,true
5,score=2; 강제포함; flags=kakao검색링크,88dc61af-8218-48e9-a91f-c00e83bee6b8,naeho-naengmyeon,내호냉면,남구,부산광역시 남구 장고개로 11-5,밀면,"밀면 9,000원",https://map.kakao.com/?map_type=TYPE_MAP&q=%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C+%EB%82%A8%EA%B5%AC+%EC%9E%A5%EA%B3%A0%EA%B0%9C%EB%A1%9C+11-5&urlLevel=2&urlX=971941&urlY=457722,kakao검색링크,true
6,"score=7; flags=kakao검색링크,price모호,가격변동메뉴,최근방송",8c4e722a-6b67-41ef-8ec0-fe3a68880d3d,oneuln-nampo-sammi-jip,삼미집,남포동,부산 중구 광복로35번길 30-1,"소갈비찜탕, 소갈비찜, 닭계장","소갈비찜탕, 소갈비찜, 닭계장",https://map.kakao.com/link/search/삼미집,"kakao검색링크,price모호,가격변동메뉴,최근방송",true
7,"score=6; flags=price모호,가격변동메뉴,도로명불명확,최근방송",86eedb54-793c-4ff4-98fd-468b89cc81bd,saengdal-suyeong-sushibashiku,스시바시쿠,광안리,부산 수영구 민락동 168-13,초밥,오마카세 / 매장 문의,https://place.map.kakao.com/629144469,"price모호,가격변동메뉴,도로명불명확,최근방송",true
8,"score=6; flags=kakao검색링크,price모호,도로명불명확,최근방송",6bb141ff-de22-42de-92bf-e541ee559463,hanyakbang-gukbap-hyeongje-food,한약방돼지국밥 형제식품,서면,부산 부산진구 범천동 839-407,돼지국밥,1만원대,https://map.kakao.com/link/search/한약방돼지국밥%20형제식품,"kakao검색링크,price모호,도로명불명확,최근방송",true
9,"score=5; flags=kakao검색링크,가격변동메뉴,최근방송",2a2807f4-670e-45d2-b6e0-b2a7b9e46efc,2tv-gwangan-kuromatsu,구로마쯔,광안리,부산 수영구 광안해변로 189 센트럴베이호텔 3층,"철판요리 런치특선, 소고기 안심 스테이크, 활전복, 새우, 가리비관자","런치특선 38,000원, 소고기 안심 스테이크 25,000원, 활전복 2마리 20,000원, 새우 3마리 15,000원, 가리비관자 3마리 15,000원",https://map.kakao.com/link/search/구로마쯔%20광안점,"kakao검색링크,가격변동메뉴,최근방송",true
10,"score=5; flags=kakao검색링크,가격변동메뉴,최근방송",67053b94-6d0f-4bf8-ba48-70dbbd44bd9b,saengdal-jeonpo-toda-park,토다공원,서면,부산 부산진구 전포대로210번길 36 1층,"오징어먹물 몬자, 명란모찌몬자, 오코노미야키, 게살카니미소몬자","오징어먹물 몬자 21,000원, 명란모찌몬자 19,800원, 오코노미야키 12,000원, 게살카니미소몬자 21,000원",https://map.kakao.com/link/search/토다공원,"kakao검색링크,가격변동메뉴,최근방송",true
11,"score=5; flags=price모호,가격변동메뉴,최근방송",2b3ba8cc-c936-4389-aae4-7329501d75f0,saengdal-sasang-peanut-bbangatgan,피넛빵앗간,사상,부산 사상구 사상로148번길 11 1층,소금빵,메뉴별 상이 (가격 확인 필요),https://place.map.kakao.com/1585286643,"price모호,가격변동메뉴,최근방송",true
12,"score=5; flags=kakao검색링크,가격변동메뉴,최근방송",c763888f-4927-4cc7-b7ed-a91958d01195,2tv-bupyeong-kkang-dwaehu,깡돼후,남포동,부산광역시 중구 부평1길 57,"돼갈후라이드, 돼갈반반, 갈비강정, 콘샐러드","돼갈후라이드 소 13,000원, 돼갈후라이드 중 18,000원, 돼갈후라이드 대 23,000원, 돼갈반반 대 24,000원, 갈비강정 중 19,000원",https://map.kakao.com/link/search/깡돼후%20부산%20부평1길%2057,"kakao검색링크,가격변동메뉴,최근방송",true
13,"score=5; flags=price모호,가격변동메뉴,최근방송",dcd3d121-d898-4daa-8e37-d1797e4bac3c,saengdal-gijang-ilgwangdang,일광당,기장,부산 기장군 일광읍 일광로 125-1,찐빵·만두,"찐빵 5개 6,000원 / 만두 6개 6,000원",https://place.map.kakao.com/14723726,"price모호,가격변동메뉴,최근방송",true
14,"score=5; flags=kakao검색링크,price모호,최근방송",f6c666a1-565e-435a-a6ea-89b01955f013,saengdal-centum-bulbaek-gosurak,불백고수락 센텀본점,해운대,부산 해운대구 센텀중앙로 90 205호,"왕치즈두툼돈카츠, 소고기짬뽕불백, 제육고추장불백, 치즈치킨불백","돈카츠, 불백, 덮밥류",https://map.kakao.com/link/search/불백고수락%20센텀본점,"kakao검색링크,price모호,최근방송",true
15,"score=5; flags=price모호,가격변동메뉴,최근방송",48b964a1-9de6-4716-8c29-1455a37e7b91,baekban-namgu-chossijib,궁중해물탕 조씨집 대연본점,남구,부산 남구 진남로 7-11,궁중해물탕,메뉴별 상이 (가격 확인 필요),https://place.map.kakao.com/11552847,"price모호,가격변동메뉴,최근방송",true
16,"score=5; flags=price모호,가격변동메뉴,최근방송",432ac814-40a5-4516-ab73-e717144b3ad2,ansungjae-yeonje-mapobonga,마포본가,연제,부산 연제구 월드컵대로111번길 10,양념돼지갈비,"돼지갈비 1근(600g) 30,000원",https://place.map.kakao.com/17981818,"price모호,가격변동메뉴,최근방송",false
17,"score=5; flags=price모호,가격변동메뉴,최근방송",a2dbb9ed-7fe6-43ad-828c-c6d46278b09f,saengdal-suyeong-dongyang-sarada-namcheon,동양사라다 남천본점,광안리,부산 수영구 남천서로20번길 31,샐러드빵,포장 전용 / 매장 문의,https://place.map.kakao.com/217131038,"price모호,가격변동메뉴,최근방송",false
18,"score=5; flags=price모호,가격변동메뉴,최근방송",4b58e611-2a84-4e19-9e42-a121e4bc3b97,sungsik-seomyeon-yanggopchang,문화양곱창,서면,부산 부산진구 지게골로 75,양곱창,"200g 16,000원",https://place.map.kakao.com/8988183,"price모호,가격변동메뉴,최근방송",false
19,"score=4; flags=가격변동메뉴,유명(trust),최근방송",eca38f0d-aa5d-413d-ae81-be24147d5350,2tv-sasang-yeonghui-halmae-jaecheopguk,할매재첩국,사상,부산 사상구 낙동대로1530번길 20-15,재첩국·재첩회·재첩비빔밥,"재첩국 약 7,000원",https://place.map.kakao.com/1531629877,"가격변동메뉴,유명(trust),최근방송",false
20,"score=4; flags=가격변동메뉴,유명(trust),최근방송",e8fecf60-5e11-4998-bcd5-a62524dbda5d,hibab-haeundae-amsogalbi,해운대 암소갈비집,해운대,부산 해운대구 해운대해변로 333,암소갈비,"생갈비 63,000원 / 양념갈비 59,000원 / 등심불고기 55,000원",https://place.map.kakao.com/8149130,"가격변동메뉴,유명(trust),최근방송",false
21,"score=4; flags=price모호,가격변동메뉴",534984b5-7b03-4945-9f1e-0d88fd57b7a3,saengdal-geumjeong-songs-bakery,송스 베이커리,기타,부산 금정구 수림로 26,찹쌀도넛,메뉴별 상이 (가격 확인 필요),https://place.map.kakao.com/1678402588,"price모호,가격변동메뉴",false
22,"score=4; flags=price모호,가격변동메뉴",eadafd41-2633-4ead-aeeb-dd54c0d2e9de,saengdal-saha-cheramie,쉐라미과자점,기타,부산 사하구 낙동대로 238,애플파이,메뉴별 상이 (가격 확인 필요),https://place.map.kakao.com/9842611,"price모호,가격변동메뉴",false
23,"score=4; flags=price모호,가격변동메뉴",8332e69a-dfef-4ddb-b96d-07655cef7ef5,tzuyang-yeonje-yeonji-yanggopchang,연지가양곱창,연제,부산 연제구 반송로 18-6 1층,양곱창 이모카세,메뉴별 상이 (가격 확인 필요),https://place.map.kakao.com/1368195059,"price모호,가격변동메뉴",false
24,"score=4; flags=price모호,가격변동메뉴",fbb321a8-7901-4f8a-b05b-156474015b8c,sungsik-gwangalli-jinmi-eonyang-bulgogi,진미언양불고기,광안리,부산 수영구 남천바다로33번길 7,언양불고기,메뉴별 상이 (가격 확인 필요),https://place.map.kakao.com/8093058,"price모호,가격변동메뉴",false
25,"score=4; flags=price모호,가격변동메뉴",cc75a2f8-52cd-4c3b-a34d-7fac494e8a0b,baekban-haeundae-yangs-yanggopchang,양가네 양곱창,해운대,부산 해운대구 구남로8번길 7-3,양곱창 모듬구이,"메뉴별 상이 (가격 확인 필요, 첫 주문 3인분 이상)",https://place.map.kakao.com/15897470,"price모호,가격변동메뉴",false
26,"score=4; flags=price모호,가격변동메뉴",cd695bb9-fb12-4824-b6c7-de5dcc0de631,baekban-yeongdo-jungri-haenyeochon,영도 중리해녀촌,영도,부산 영도구 중리남로 2-35 영도해녀문화전시관 1층,해녀 자연산 해산물,메뉴별 상이 (가격 확인 필요),https://place.map.kakao.com/273038784,"price모호,가격변동메뉴",false
27,"score=4; flags=price모호,가격변동메뉴",37e8fa0a-be8e-4886-852d-9e982e16cae2,saengbang-gwangalli-sanhae-hoejip,산해횟집,광안리,부산 수영구 광안해변로344번길 17-20 풍경타워 8층,활어회 (랍스타코스),"1인 50,000~120,000원",https://place.map.kakao.com/20554112,"price모호,가격변동메뉴",false
28,"score=4; flags=price모호,가격변동메뉴",1fc41847-7c8e-4586-bcca-96570e959486,live-today-samjin-eomuk,삼진어묵 본점,영도,부산광역시 영도구 태종로99번길 36,수제 어묵,"1,500원~15,000원",https://place.map.kakao.com/22579540,"price모호,가격변동메뉴",false
