priority_rank,id,slug,name,db_address,verified_address,address_match,db_main_menu,recommended_main_menu,db_price_text,recommended_price_text,price_match,price_freshness,business_status,kakao_place_id,kakao_address,coordinate_issue,classification,recommendation,review_reason,sources
1,081ea8e9-c0e1-49b2-bcc8-90369c730855,sokssiwonhan-daegutang-haeundae,속씨원한 대구탕 해운대 본점,부산 해운대구 해운대로570번길 11 2층,부산 해운대구 해운대로570번길 11 (지번 우동 643-5),EXACT,대구탕,(유지),"대구탕 14,000원","대구탕 15,000원","불일치(14,000→15,000)",높음(2026-05 본점 리뷰),영업중,13299874,부산 해운대구 해운대로570번길 11,359m 이격,PRICE_CORRECTION_CANDIDATE,"price_text 15,000원; kakao_url을 place/13299874로(별도 범위)",-,Kakao Local API; 다이닝코드(해운대본점)
2,27629e61-cd14-4f00-a838-3f97298b12e1,hibab-cheongsa-hoe-center,청사포 도희네 조개구이,부산 해운대구 청사포로 157,부산 해운대구 청사포로 157 (지번 중동 509-9),EXACT,모듬조개구이,(유지),"모듬조개구이 40,000원~","(유지) 모듬조개구이 40,000원~",일치,보통~높음(2025-03 동일),영업중,510744836,부산 해운대구 청사포로 157,없음(0m),EXACT_CURRENT,수정 불필요(공식 메뉴판 확인 시 가격 보강만 선택),-,Kakao Local API; 다이닝코드; 비짓부산
3,f6255fb2-9255-4d60-9707-f5d050345b10,saengdal-seomyeon-dammiok,담미옥,부산 부산진구 복지로 15 개금포르투나 103호,부산 중구 해관로 82-1 (지번 중앙동4가 60-1) [개금→중구 이전],불일치(이전),평양냉면,(유지),"평양냉면(물) 13,000원 / 녹두전 8,000원","평양냉면(물) 13,000원 / 녹두전 9,000원","거의일치(녹두전 8,000→9,000)",높음(2026-05),영업중(개금→중구 이전),1712286950,부산 중구 해관로 82-1,DB좌표=개금(구위치) 약 5.2km,CLOSED_OR_MOVED,"주소→중구 해관로 82-1, kakao→place/1712286950, 좌표·price 일괄(별도 승인건)",이전 확정 — 공개 유지 가능하나 주소·지도·좌표 일괄 갱신 필요,다이닝코드(이전 명시); 미쉐린 빕구르망
4,b159834b-1ebe-467e-aecc-e3f24fc4675b,saengdal-yeongdo-sato-bunsik,사또분식,부산 영도구 절영로35번길 39,부산 영도구 절영로35번길 37 (Kakao 공식; 일부 출처 39),"REVIEW(37 vs 39, 동일 place·14m)",당면 비빔김밥,(유지),메뉴별 상이 (가격 확인 필요),"당면 비빔김밥 6,500원 / 국수 6,000원",불일치(모호→확정),보통(2024~2025 SNS/식신),영업중,9808354,부산 영도구 절영로35번길 37,없음(14m),PRICE_CORRECTION_CANDIDATE,price_text 확정; 주소 번지 37/39 추가확인 후 결정,도로명 번지 Kakao 37 vs DB 39 충돌(주소만 보류),Kakao Local API; 인스타/식신; 생활의달인
5,88dc61af-8218-48e9-a91f-c00e83bee6b8,naeho-naengmyeon,내호냉면,부산광역시 남구 장고개로 11-5,부산 남구 우암번영로26번길 17 (지번 우암동 189-671),불일치→교정(전화일치 동일업소),밀면,(유지),"밀면 9,000원","REVIEW(밀면 9,000 vs 6,000 충돌 — 보류)",REVIEW,낮음(시점 불명확),영업중(1919년~ 백년가게),11023144,부산 남구 우암번영로26번길 17,355m 이격(주소 교정 시 좌표 점검),ADDRESS_CORRECTION_CANDIDATE,"주소→우암번영로26번길 17, kakao→place/11023144; 가격 보류",밀면 단가 9,000/6,000 충돌(가격만 보류),Kakao(전화일치); 다이닝코드/식신/구석구석/busan.go.kr
6,8c4e722a-6b67-41ef-8ec0-fe3a68880d3d,oneuln-nampo-sammi-jip,삼미집,부산 중구 광복로35번길 30-1,부산 중구 광복로35번길 30-1 (지번 신창동3가 6-1),EXACT,"소갈비찜탕, 소갈비찜, 닭계장",(유지),"소갈비찜탕, 소갈비찜, 닭계장(가격 없음)","소갈비찜탕 9,000원 / 소갈비찜 30,000원~ / 닭계장 7,000원",불일치(메뉴명만→가격 확정),보통(다이닝코드),영업중(국제시장 골목),16214505,부산 중구 광복로35번길 30-1,294m(경미),PRICE_CORRECTION_CANDIDATE,price_text 확정; kakao_url place/16214505(별도 범위),-,Kakao Local API; 다이닝코드; 생생정보(위키푸디)
7,86eedb54-793c-4ff4-98fd-468b89cc81bd,saengdal-suyeong-sushibashiku,스시바시쿠,부산 수영구 민락동 168-13,부산 수영구 광안해변로255번길 45 (지번 민락동 168-13),일치(지번 동일; 도로명 보강 가능),초밥,(유지),오마카세 / 매장 문의,(유지) 오마카세 / 매장 문의,확인 불가,확인 불가,영업중(예약필수),629144469,부산 수영구 광안해변로255번길 45,600m 이격(같은 place·좌표 점검 권장),REVIEW,가격 유지; 도로명 보강 선택; 좌표 별도 점검,오마카세 단가 비공개 — 가격 단정 불가,Kakao Local API; 다이닝코드/캐치테이블
8,6bb141ff-de22-42de-92bf-e541ee559463,hanyakbang-gukbap-hyeongje-food,한약방돼지국밥 형제식품,부산 부산진구 범천동 839-407,부산 부산진구 자유평화로 21-11 (지번 범천동 839-407),일치(지번 동일; 도로명 보강 가능),돼지국밥,(유지),1만원대,"수육국밥 한상 10,000원 / 얼큰국밥 한상 12,000원",불일치(모호→구체화),보통~높음(다이닝코드 메뉴판),영업중(월 휴무),2017689767,부산 부산진구 자유평화로 21-11,없음(51m),PRICE_CORRECTION_CANDIDATE,price_text 구체화; 도로명 보강 선택; kakao_url place/2017689767(별도),-,Kakao Local API; 다이닝코드(메뉴판)
9,2a2807f4-670e-45d2-b6e0-b2a7b9e46efc,2tv-gwangan-kuromatsu,구로마쯔,부산 수영구 광안해변로 189 센트럴베이호텔 3층,부산 수영구 광안해변로 189 (지번 광안동 197-2),일치,철판요리 런치특선 외,(유지),"런치특선 38,000원 외 상세","(유지)",일치 추정(반증 없음),보통,영업중(예약필수),1553493687,부산 수영구 광안해변로 189,310m(경미),EXACT_CURRENT,수정 불필요; kakao_url place/1553493687(별도); 송정점과 구분,-,Kakao Local API; 다이닝코드(광안점)/트립닷컴
10,67053b94-6d0f-4bf8-ba48-70dbbd44bd9b,saengdal-jeonpo-toda-park,토다공원,부산 부산진구 전포대로210번길 36 1층,부산 부산진구 전포대로210번길 36 (지번 전포동 334-44),일치,오징어먹물 몬자 외,(유지),"오징어먹물 몬자 21,000원, 명란모찌몬자 19,800원 외","(유지)",일치,보통,영업중,536870603,부산 부산진구 전포대로210번길 36,251m(경미),EXACT_CURRENT,수정 불필요; phone(051-808-7736 vs 051-622-7736) 별도; kakao_url place/536870603(별도),-,Kakao Local API; 다이닝코드/비짓부산
