priority_rank,priority_reason,id,slug,name,area,address,kakao_map_url,program,creator,has_thumbnail,has_trust_source,selected_for_top15
1,"score=6(kakao+3,trust+2,major지역+1); broadcast=2025-07-28",e85c0180-ef04-4fad-9c8a-ffd5833de29b,saengdal-gwangalli-baegil-pyeongnaeng,백일평냉,광안리,부산 수영구 남천바다로10번길 29 1층,https://place.map.kakao.com/1174747976,생활의 달인,,true,true,true
2,"score=6(kakao+3,trust+2,major지역+1); broadcast=2025-06-15",2ef870fb-1de0-4a40-ad5f-0d7d5b107d02,tzuyang-nampo-ijaemo-pizza,이재모피자 본점,남포동,부산 중구 광복중앙로 31,https://place.map.kakao.com/10070964,쯔양,,true,true,true
3,"score=4(kakao+3,major지역+1); broadcast=2026-01-09",6bb141ff-de22-42de-92bf-e541ee559463,hanyakbang-gukbap-hyeongje-food,한약방돼지국밥 형제식품,서면,부산 부산진구 범천동 839-407,https://map.kakao.com/link/search/한약방돼지국밥%20형제식품,전현무계획3,,true,false,true
4,"score=4(kakao+3,major지역+1); broadcast=2025-12-23",b7a9baa2-c394-4f3f-a47b-b93f02fb638c,mulkkong-sikdang,물꽁식당,남포동,부산광역시 중구 흥교로 55,https://map.kakao.com/?map_type=TYPE_MAP&q=%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C+%EC%A4%91%EA%B5%AC+%ED%9D%91%EA%B5%90%EB%A1%9C+55&urlLevel=2&urlX=961466&urlY=451395,6시내고향,,true,false,true
5,"score=4(kakao+3,major지역+1); broadcast=2025-07-09",e7ce6a07-53e0-42e2-8cb1-62b9fca74cc8,baekhwa-yanggopchang-1ho,백화양곱창 1호,남포동,부산 중구 자갈치로23번길 6,https://place.map.kakao.com/2061622071,,쯔양,true,false,true
6,"score=4(kakao+3,major지역+1); broadcast=2025-06-25",6cf98194-e08c-4af5-9495-6bbe7957a70c,tzuyang-haeundae-ppalgan-tteokbokki,빨간떡볶이,해운대,부산 해운대구 우동1로20번가길 4 1층,https://place.map.kakao.com/20522414,쯔양,쯔양,true,false,true
7,"score=4(kakao+3,major지역+1); broadcast=2024-12-13",02921b80-dd6a-4f41-9538-7ca1e8a68884,jeonhyun-gwangalli-biwa-suljan,비와술잔,광안리,부산 수영구 황령대로489번길 49-8 1층,https://place.map.kakao.com/1848137369,전현무계획2,,true,false,true
8,"score=4(kakao+3,major지역+1); broadcast=2024-12-13",6197c7b5-dbc0-41c5-b29f-0adb7fb8ed6c,jeonhyun-nampo-yeosongje,여송제,남포동,부산 중구 광복로18번길 5,https://place.map.kakao.com/10656018,전현무계획2,,true,false,true
9,"score=4(kakao+3,major지역+1); broadcast=2024-12-09",9fa8c2f5-452d-4bc0-9c8e-6f2079c7dd65,saengdal-haeundae-missaem-ssalbbang,미쌤쌀빵,해운대,"부산 해운대구 센텀중앙로 145, 1층",https://place.map.kakao.com/930661152,생활의달인,,true,false,true
10,"score=4(kakao+3,major지역+1); broadcast=2024-12-02",ea3ca318-62a3-46a9-ab0b-c49031affcfa,saengdal-gwangalli-boulangerie-lassence,블랑제리 라센,광안리,부산 수영구 남천바다로9번길 8,http://place.map.kakao.com/748130607,생활의 달인,,true,false,true
11,"score=4(kakao+3,major지역+1); broadcast=2024-11-29",ebaaf480-2957-41a9-a7d8-51dd90f14575,jeonhyun-nampo-mullebanga-jeukseokgui,물레방아 즉석구이,남포동,부산 중구 중앙대로41번길 11-1,https://place.map.kakao.com/8301894,전현무계획2,,true,false,true
12,"score=4(kakao+3,major지역+1); broadcast=2024-10-22",f8e07f9d-1227-466f-981d-eed4b8713c96,tzuyang-nampo-ssiat-hotteok,남포동 씨앗호떡,남포동,부산 중구 광복로 56,https://place.map.kakao.com/26889472,쯔양,쯔양,true,false,true
13,"score=4(kakao+3,major지역+1); broadcast=2022-09-02",fbb321a8-7901-4f8a-b05b-156474015b8c,sungsik-gwangalli-jinmi-eonyang-bulgogi,진미언양불고기,광안리,부산 수영구 남천바다로33번길 7,https://place.map.kakao.com/8093058,성시경의 먹을텐데,성시경,true,false,true
14,"score=4(kakao+3,major지역+1); broadcast=2019-06-06",c97e4fe7-625f-4e6e-a20d-75f51b2521b2,baekban-nampo-subok-centa,수복센타,남포동,부산 중구 남포길 25-3,https://place.map.kakao.com/11128820,식객 허영만의 백반기행,,true,false,true
15,"score=4(kakao+3,major지역+1); broadcast=2018-03-21",5ad03bde-3af4-43ab-bcf9-e307d32521ae,subyeon-choego-doejigukbap-minrak,수변최고돼지국밥 민락본점,광안리,부산 수영구 광안해변로370번길 9-32,https://place.map.kakao.com/14635779,수요미식회,,true,false,true
16,"score=4(kakao+3,major지역+1); broadcast=2017-09-15",081ea8e9-c0e1-49b2-bcc8-90369c730855,sokssiwonhan-daegutang-haeundae,속씨원한 대구탕 해운대 본점,해운대,부산 해운대구 해운대로570번길 11 2층,https://map.kakao.com/?urlX=990988.0000004247&urlY=467668.00000001094&urlLevel=3&itemId=13299874&q=%EC%86%8D%EC%94%A8%EC%9B%90%ED%95%9C%20%EB%8C%80%EA%B5%AC%ED%83%95%20%ED%95%B4%EC%9A%B4%EB%8C%80%20%EB%B3%B8%EC%A0%90&srcid=13299874&map_type=TYPE_MAP,맛있는녀석들,,true,false,false
17,"score=4(kakao+3,major지역+1); broadcast=2017-05-08",4bb57c0f-1571-4c30-9e28-e5e89d062d93,hoeguksu-halmaejip,회국수할매집,서면,부산 부산진구 서면문화로 5,https://map.kakao.com/?map_type=TYPE_MAP&itemId=11260858&q=%ED%9A%8C%EA%B5%AD%EC%88%98%ED%95%A0%EB%A7%A4%EC%A7%91&urlLevel=3&urlX=968710&urlY=466468,식객 허영만의 백반기행,,true,false,false
18,"score=4(kakao+3,major지역+1); broadcast=2015-10-02",889f4bc5-cb01-40d3-aa7b-45f319a675bf,samdae-seomyeon-wonjo-halmae-nakji,원조할매낙지,서면,부산 부산진구 골드테마길 10,https://place.map.kakao.com/8035148,백종원의 3대 천왕,,true,false,false
19,"score=4(kakao+3,major지역+1); broadcast=2015-09-11",168c8089-fc82-4c44-8009-fa9e80158d0d,iganae-tteokbokki,이가네떡볶이 본점,남포동,부산 중구 부평1길 48,https://place.map.kakao.com/20204736,백종원의 3대천왕,,true,false,false
20,"score=4(kakao+3,major지역+1); broadcast=없음",f8560a38-de47-4618-b687-6ccfbb4bded0,sungsik-gwangalli-geumson-1983,금손1983,광안리,부산 수영구 수영로680번길 54 1층,https://place.map.kakao.com/855139094,성시경의 먹을텐데,성시경,true,false,false
21,"score=4(kakao+3,major지역+1); broadcast=없음",a6e2fab3-4fbb-44ba-a85d-26a16e04466a,sungsik-gwangalli-haejin-anago,해진아나고,광안리,부산 수영구 광서로10번길 47,http://place.map.kakao.com/22205150,,,true,false,false
