priority_rank,id,slug,name,db_address,db_phone,kakao_map_url,classification,business_status,official_name,official_address,kakao_phone,naver_web_phone,official_phone,other_phone,recommended_phone,phone_match,branch_match,recommendation,review_reason,sources
1,e85c0180-ef04-4fad-9c8a-ffd5833de29b,saengdal-gwangalli-baegil-pyeongnaeng,백일평냉,부산 수영구 남천바다로10번길 29 1층,,https://place.map.kakao.com/1174747976,REVIEW,영업중,백일평냉,부산 수영구 남천바다로10번길 29,051-625-5515,0507-1419-5515,,,051-625-5515,CONFLICT,단일,추가 검증(지역번호 vs 안심번호),"Kakao 지역번호 051-625-5515 vs 식신 0507-1419-5515(안심번호). 끝자리 5515 동일하나 표기 상이. 지역번호 우선 권장","Kakao Local API; 식신; 다이닝코드; 미쉐린"
2,2ef870fb-1de0-4a40-ad5f-0d7d5b107d02,tzuyang-nampo-ijaemo-pizza,이재모피자 본점,부산 중구 광복중앙로 31,,https://place.map.kakao.com/10070964,REVIEW,영업중,이재모피자 본점,부산 중구 광복중앙로 31,051-255-9494,051-245-1478,,,,CONFLICT,본점,추가 검증(전화 충돌),"Kakao 051-255-9494 vs 식신·비짓부산·캐치테이블·나무위키 051-245-1478. 둘 다 지역번호이나 상이. 본점 회선 2개 가능성. 확정 보류","Kakao Local API; 식신; 비짓부산; 캐치테이블; 나무위키"
3,6bb141ff-de22-42de-92bf-e541ee559463,hanyakbang-gukbap-hyeongje-food,한약방돼지국밥 형제식품,부산 부산진구 범천동 839-407,,https://map.kakao.com/link/search/한약방돼지국밥 형제식품,REVIEW,영업중,한약방돼지국밥 형제식품,부산 부산진구 자유평화로 21-11,051-646-3102,0507-1329-5026,,,051-646-3102,CONFLICT,단일,추가 검증(지역vs안심 + 주소 지번/도로명 + kakao 검색링크),"Kakao 지역번호 051-646-3102 vs 다이닝코드·캐치 0507-1329-5026(안심). DB 주소(범천동 839-407 지번) vs Kakao(자유평화로 21-11 도로명) 매칭 확인 필요. kakao_map_url은 place 미연결 검색링크","Kakao Local API; 다이닝코드; 캐치테이블; 당근"
4,b7a9baa2-c394-4f3f-a47b-b93f02fb638c,mulkkong-sikdang,물꽁식당,부산광역시 중구 흥교로 55,,https://map.kakao.com/?q=...(검색링크),EXACT_MATCH,영업중,물꽁식당,부산 중구 흑교로59번길 3,051-257-3230,051-257-3230,,,051-257-3230,EXACT,단일(부산 최초 아구찜),"전화 EXACT(Kakao+다이닝코드+망고플레이트+비짓부산 동일 051-257-3230) → 반영 가능. 단 DB 주소(흥교로 55)가 실제(흑교로59번길 3)와 불일치, kakao_map_url도 검색링크(place 11891969 미연결) → 주소·지도는 별도 교정 필요","Kakao Local API; 다이닝코드; 망고플레이트; 비짓부산"
5,e7ce6a07-53e0-42e2-8cb1-62b9fca74cc8,baekhwa-yanggopchang-1ho,백화양곱창 1호,부산 중구 자갈치로23번길 6,,https://place.map.kakao.com/2061622071,REVIEW,영업중,백화양곱창 1호,부산 중구 자갈치로23번길 6,051-245-0105,051-245-0105 / 051-257-3352,,,051-245-0105,CONFLICT,1호점,추가 검증(식신 번호 충돌),"Kakao+다이닝코드 051-245-0105 일치하나 식신 051-257-3352로 충돌. 2:1로 051-245-0105 우세, 식신 구번호 가능성","Kakao Local API; 다이닝코드; 식신"
6,6cf98194-e08c-4af5-9495-6bbe7957a70c,tzuyang-haeundae-ppalgan-tteokbokki,빨간떡볶이,부산 해운대구 우동1로20번가길 4 1층,,https://place.map.kakao.com/20522414,EXACT_MATCH,영업중,빨간떡볶이,부산 해운대구 우동1로20번길 74 우일종합시장,051-743-2814,051-743-2814,,,051-743-2814,EXACT,단일(47년 노포),"전화 EXACT(Kakao+다이닝코드+식신 동일). DB 주소(우동1로20번가길 4)와 실제(우동1로20번길 74) 표기 차이는 별도 확인 권장","Kakao Local API; 다이닝코드; 식신"
7,02921b80-dd6a-4f41-9538-7ca1e8a68884,jeonhyun-gwangalli-biwa-suljan,비와술잔,부산 수영구 황령대로489번길 49-8 1층,,https://place.map.kakao.com/1848137369,REVIEW,영업중,비와술잔,부산 수영구 황령대로489번길 49-8,051-621-2540,,,,051-621-2540,KAKAO_ONLY,단일,추가 검증(2차 출처 미확보),"Kakao 사업자정보 051-621-2540 단독. 웹 검색에서 전화 교차 미확보 → 네이버지도 등 2차 출처 확인 후 반영 권장","Kakao Local API"
8,6197c7b5-dbc0-41c5-b29f-0adb7fb8ed6c,jeonhyun-nampo-yeosongje,여송제,부산 중구 광복로18번길 5,,https://place.map.kakao.com/10656018,EXACT_MATCH,영업중,여송제,부산 중구 광복로18번길 5,051-246-2111,051-246-2111,,,051-246-2111,EXACT,단일(30년 냉채족발),전화 EXACT(Kakao+다이닝코드 동일 051-246-2111),"Kakao Local API; 다이닝코드"
9,9fa8c2f5-452d-4bc0-9c8e-6f2079c7dd65,saengdal-haeundae-missaem-ssalbbang,미쌤쌀빵,"부산 해운대구 센텀중앙로 145, 1층",,https://place.map.kakao.com/930661152,EXACT_MATCH,영업중,미쌤쌀빵(미쌤쌀식빵),부산 해운대구 센텀중앙로 145,051-743-6778,051-743-6778,,,051-743-6778,EXACT,단일,전화 EXACT(Kakao+다이닝코드 동일 051-743-6778),"Kakao Local API; 다이닝코드"
10,ea3ca318-62a3-46a9-ab0b-c49031affcfa,saengdal-gwangalli-boulangerie-lassence,블랑제리 라센,부산 수영구 남천바다로9번길 8,,http://place.map.kakao.com/748130607,REVIEW,영업중,블랑제리라센,부산 수영구 남천바다로9번길 8,051-710-1417,,,,051-710-1417,KAKAO_ONLY,단일,추가 검증(2차 출처 미확보),"Kakao 사업자정보 051-710-1417 단독. 웹 검색 교차 미확보 → 네이버지도 등 2차 출처 확인 후 반영 권장","Kakao Local API"
