original_priority_rank,excluded,exclusion_reason,id,slug,name,db_address,db_phone,kakao_map_url,classification,business_status,kakao_phone,naver_web_phone,recommended_phone,phone_match,branch_match,recommendation,review_reason,sources
31,false,,eadafd41-2633-4ead-aeeb-dd54c0d2e9de,saengdal-saha-cheramie,쉐라미과자점,부산 사하구 낙동대로 238,,place 9842611,EXACT_MATCH,영업중,051-208-0033,051-208-0033,051-208-0033,EXACT,단일(백년가게),승인 후 반영,"Kakao place명은 '1974쉐라미'(1974년 전통)이나 DB '쉐라미과자점'과 동일 업소(주소 낙동대로 238·전화 051-208-0033 일치). 식신·백년가게·부산일보 051-208-0033 일치","Kakao Local API; 식신; 백년가게(visitkorea); 부산일보"
32,false,,8332e69a-dfef-4ddb-b96d-07655cef7ef5,tzuyang-yeonje-yeonji-yanggopchang,연지가양곱창,부산 연제구 반송로 18-6 1층,,place 1368195059,REVIEW,영업중,051-853-2345,,051-853-2345,KAKAO_ONLY,단일,추가 검증(2차 출처),"Kakao 지역번호 051-853-2345 단독, 웹(다이닝·부산일보) 전화 미노출. 네이버지도 2차 확인 필요","Kakao Local API; 다이닝코드; 부산일보"
33,false,,0b3a8b91-d42b-4dbc-b980-230ee493feb1,ddoganjip-hapcheon-ilryu-dwaeji-gukbap,합천일류돼지국밥,부산 사상구 광장로 34,,kko.to 단축링크,EXACT_MATCH,영업중,051-317-2478,051-317-2478,051-317-2478,EXACT,사상 본점(창원직영점 별개),승인 후 반영,"Kakao(합천일류돼지국밥 사상점 10928210)+autoreserve+비짓부산+식신 051-317-2478 일치. 주차장 부속·창원직영점 별개","Kakao Local API; autoreserve; 비짓부산; 식신"
34,false,,6fa20bbf-ca29-4065-8eca-39d19b904d27,pungja-namgu-hapcheon-gukbap,합천국밥집,부산 남구 용호로 235,,place 1420643780,REVIEW,영업중,051-622-4898,051-628-4898,051-628-4898,CONFLICT,단일,추가 검증(번호 충돌),"Kakao 051-622-4898(용호로 237) vs 웹(식신·다이닝·triple) 051-628-4898(용호로 235=DB일치). 가운데자리 622/628 충돌, 웹 다수가 628+DB주소 일치. 네이버지도 확인 필요","Kakao Local API; 식신; 다이닝코드; 트립닷컴"
35,false,,ad2a5732-f633-4793-9f05-459ba9795f87,baekban-seogu-yetnal-guksujip,옛날국수집,부산 서구 까치고개로160번길 54,,place 964978610,REVIEW,영업중,051-241-7454,,051-241-7454,KAKAO_ONLY,본점(제주·용인·대구 동명 별개),추가 검증(2차 출처),"Kakao 지역번호 051-241-7454 단독, 웹 전화 미노출. 네이버지도 2차 확인 필요","Kakao Local API; 다이닝코드"
36,false,,163516e4-449b-469c-ac55-bf80180f57a9,kimyusun-daegu-bbol-jjim,김유순대구뽈찜전문점,부산 남구 진남로 15,,place 8116757,EXACT_MATCH,영업중,051-627-4319,051-627-4319,051-627-4319,EXACT,진남로15 본점(못골로 별관 동일번호),승인 후 반영,"Kakao+식신+다이닝+비짓부산+공식인스타 051-627-4319 일치","Kakao Local API; 식신; 다이닝코드; 비짓부산; 공식 인스타"
37,false,,b159834b-1ebe-467e-aecc-e3f24fc4675b,saengdal-yeongdo-sato-bunsik,사또분식,부산 영도구 절영로35번길 39,,place 9808354,REVIEW,영업중,051-415-3764,,051-415-3764,KAKAO_ONLY,단일(주소 37/39 미세차),추가 검증(2차 출처),"Kakao 지역번호 051-415-3764 단독(Kakao 주소 절영로35번길 37 vs DB 39 미세차), 웹 전화 미노출. 네이버지도 2차 확인 필요","Kakao Local API; 인스타; polle"
38,false,,88dc61af-8218-48e9-a91f-c00e83bee6b8,naeho-naengmyeon,내호냉면,부산광역시 남구 장고개로 11-5,,place(검색링크),EXACT_MATCH,영업중,051-646-6195,051-646-6195,051-646-6195,EXACT,우암동 본점(1919년~ 단일 노포),승인 후 반영,"Kakao+나무위키+대한민국구석구석+식신 051-646-6195 일치(부산 밀면 원조 단일 노포). DB 주소(장고개로 11-5)는 Kakao 우암번영로26번길 17과 표기 차이 — phone과 무관하나 주소 별도 확인 권장","Kakao Local API; 나무위키; 대한민국구석구석; 식신"
39,false,,1fc41847-7c8e-4586-bcca-96570e959486,live-today-samjin-eomuk,삼진어묵 본점,부산광역시 영도구 태종로99번길 36,,place 22579540,EXACT_MATCH,영업중,051-715-5865,051-715-5865,051-715-5865,EXACT,영도본점(삼진어묵당 별개),승인 후 반영,"Kakao+공식 쇼핑몰(samjinfood.com)+식신+비짓부산 051-715-5865 일치. 1953년~ 부산 대표 어묵","Kakao Local API; 공식 쇼핑몰; 식신; 비짓부산"
40,false,,b2db448e-57c1-455a-ad64-e5949c05df74,saengsaeng-sasang-jurye-suyuk-kalguksu,주례수육칼국수 2호점,부산 사상구 가야대로 290-18,,place 1664107638,REVIEW,영업중,0502-5553-2589(안심),051-312-4628,051-312-4628,CONFLICT,2호점,추가 검증(안심 vs 지역),"Kakao는 0502-5553-2589 안심번호, 웹(다이닝·식신) 지역번호 051-312-4628(끝자리 불일치). 지역번호 우선 권장이나 Kakao와 충돌 → 네이버지도 확인 필요","Kakao Local API; 다이닝코드; 식신"
41,false,,87092201-5e92-4086-aaae-dbc21f814a29,tzuyang-gangseo-samseong-galmijogae,삼성갈미조개,부산 강서구 르노삼성대로 602 2층,,place 21843973,EXACT_MATCH,영업중,051-271-0722,0507-1411-0722(안심),051-271-0722,EXACT_D,단일,승인 후 반영,"Kakao 지역번호 051-271-0722 + 웹 안심번호 0507-1411-0722 끝자리 0722 동일(동일업소 착신). 지역번호 우선","Kakao Local API; 다이닝코드; 여행의기술"
42,false,,9b6f52ef-9514-4359-be60-b3612aa4201f,tzuyang-yeongdo-dongbang-milmyeon,동방밀면,부산 영도구 꿈나무길 239,,place 8914478,EXACT_MATCH,영업중,051-416-9592,051-416-9592,051-416-9592,EXACT,단일(동방축산 별개),승인 후 반영,"Kakao+다이닝코드+polle 051-416-9592 일치","Kakao Local API; 다이닝코드; polle"
