id,slug,name,area,db_address,kakao_map_url,previous_classification,work_type,final_classification,business_status,kakao_phone,naver_web_phone,recommended_phone,address_issue,kakao_issue,branch_issue,manual_action_required,recommendation,sources
081ea8e9-c0e1-49b2-bcc8-90369c730855,sokssiwonhan-daegutang-haeundae,속씨원한 대구탕 해운대 본점,해운대,부산 해운대구 해운대로570번길 11 2층,검색링크,REVIEW,PHONE_READY,PHONE_READY,영업중,051-731-4222,051-731-4222,051-731-4222,,kakao_map_url 검색링크(place 13299874 연결 권장-별도),미포본점 구분됨,,phone 승인 후 반영,"Kakao+식신+다이닝+트립"
8332e69a-dfef-4ddb-b96d-07655cef7ef5,tzuyang-yeonje-yeonji-yanggopchang,연지가양곱창,연제,부산 연제구 반송로 18-6 1층,place연결,REVIEW,PHONE_READY,PHONE_READY,영업중,051-853-2345,051-853-2345,051-853-2345,,,,,phone 승인 후 반영,"Kakao+다이닝코드"
ad2a5732-f633-4793-9f05-459ba9795f87,baekban-seogu-yetnal-guksujip,옛날국수집,기타,부산 서구 까치고개로160번길 54,place연결,REVIEW,PHONE_READY,PHONE_READY,영업중,051-241-7454,051-241-7454,051-241-7454,,,제주·용인·대구 동명 별개,,phone 승인 후 반영,"Kakao+다이닝코드+먹자"
4e22727f-a842-4126-9307-55110f5a7355,tzuyang-seomyeon-dongchuni-mandu,동춘이만두,서면,부산 부산진구 당감로25번길 11,place연결,REVIEW,PHONE_READY,PHONE_READY,영업중,051-896-1869,051-896-1869,051-896-1869,,,인천 동춘 별개,,phone 승인 후 반영,"Kakao+다이닝코드"
cac8680a-5844-429f-8915-9080fda28df3,jeonhyun-namgu-suta-hyemi-kalguksu,수타혜미칼국수,남구,부산 남구 문현금융로 4,place연결,REVIEW,PHONE_READY,PHONE_READY,영업중,051-635-8587,051-635-8587,051-635-8587,,,,,phone 승인 후 반영,"Kakao+다이닝코드+전현무계획2 관련"
b159834b-1ebe-467e-aecc-e3f24fc4675b,saengdal-yeongdo-sato-bunsik,사또분식,영도,부산 영도구 절영로35번길 39,place연결,REVIEW,PHONE_READY,PHONE_READY,영업중,051-415-3764,051-415-3764,051-415-3764,Kakao place 주소 37 vs DB 39 미세차(경미),,,,phone 승인 후 반영,"Kakao+다이닝코드+여행의기술+polle"
9d8c1860-f09b-43fb-9028-0e5ba72c513d,baekban-yeongdo-gamasot-doejigukbap,가마솥돼지국밥 영도점,영도,부산 영도구 절영로49번길 25,place연결,REVIEW,DATA_CORRECTION_FIRST,DATA_CORRECTION_FIRST,영업중,051-413-8609,051-413-8609,,DB주소 절영로49번길 25 vs Kakao place 남항시장길 350 충돌,kakao place(15526776)와 DB주소 불일치,영도 동명 가마솥 다수,주소 정합 후 phone+지도 동시,주소·Kakao 교정 선행,"Kakao+트립+페이스북(백반기행)"
f6255fb2-9255-4d60-9707-f5d050345b10,saengdal-seomyeon-dammiok,담미옥,서면,부산 부산진구 복지로 15 개금포르투나 103호,null,NO_MATCH,DATA_CORRECTION_FIRST,DATA_CORRECTION_FIRST,영업중(미쉐린 빕구르망),,,,개금 영업 확인되나 Kakao place 미특정,kakao_map_url null(개금 담미옥 Kakao keyword 미출현),중구 해관로 담미옥 별개,Kakao place 수동 확인 후 지도+phone,Kakao place 확정 선행,"Kakao+미쉐린+polle"
tzuyang-nampo-ssiat-hotteok,tzuyang-nampo-ssiat-hotteok,남포동 씨앗호떡,남포동,부산 중구 광복로 56,place연결,NO_MATCH,PHONE_NOT_APPLICABLE,PHONE_NOT_APPLICABLE,영업중(노점 거리),,,,,BIF광장 노점 통칭,단일 점포 아님,phone 비대상 처리 검토,운영점검 phone 예외 설계 검토,"Kakao+한국민족문화대백과"
6bb141ff-de22-42de-92bf-e541ee559463,hanyakbang-gukbap-hyeongje-food,한약방돼지국밥 형제식품,서면,부산 부산진구 범천동 839-407,검색링크,REVIEW,MANUAL_REVIEW,MANUAL_REVIEW,영업중,051-646-3102,0507-1329-5026(안심),,주소 동일장소 확정(범천동839-407=자유평화로21-11),kakao_map_url 검색링크(place 연결 필요),,네이버 지역번호 확인 + kakao place 연결,전화 2차 확인 후 반영,"Kakao+다이닝+캐치테이블"
