slug,name,db_place_id,db_address,db_phone,db_lat,db_lng,kakao_place_id,kakao_name,kakao_road_address,kakao_address,kakao_phone,kakao_lat,kakao_lng,distance_m,place_id_match,address_match,coordinate_match,suspected_issue,final_status,priority,safe_fix_fields,unsafe_fix_fields,recommended_action,evidence,notes
jeonhyun-gijang-haenyeo-halmaejib,5번 친구해녀할매집,704870096,부산 기장군 기장읍 기장해안로 668,051-724-3399,35.1996433,129.2240272,704870096,5번친구해녀할매집,부산 기장군 기장읍 기장해안로 668,부산 기장군 기장읍 대변리 245-23,051-724-3399,35.2204424,129.2333112,2451,MATCH,MATCH,MISMATCH,db_coordinate_off,FIX_READY_COORDINATE_ONLY,P0_FIX_READY,lat;lng,address;name;phone,주소(기장해안로 668) 재지오코딩으로 좌표 교정,place_id+주소+전화 동일·DB좌표만 2451m 이격,운영 200
saengbang-gwangalli-sanhae-hoejip,산해횟집,20554112,부산 수영구 광안해변로344번길 17-20 풍경타워 8층,0507-1389-7718,35.1551,129.1189,20554112,산해횟집,부산 수영구 광안해변로344번길 17-20,부산 수영구 민락동 110-50,051-752-8294,35.1549965,129.1316577,1133,MATCH,VARIANT,MISMATCH,db_coordinate_off,FIX_READY_COORDINATE_ONLY,P0_FIX_READY,lat;lng,address(8층표기 유지);name,주소 재지오코딩 좌표 교정(풍경타워),place_id 일치·주소 base 동일·DB좌표 1133m 이격,운영 200
saengdal-geumjeong-songs-bakery,송스 베이커리,1678402588,부산 금정구 수림로 26,051-518-0303,35.2392341,129.0804266,1678402588,송스베이커리,부산 금정구 수림로 26,부산 금정구 부곡동 65-15,051-518-0303,35.2399911,129.0897874,835,MATCH,MATCH,MISMATCH,db_coordinate_off,FIX_READY_COORDINATE_ONLY,P0_FIX_READY,lat;lng,address;name;phone,주소(수림로 26) 재지오코딩 좌표 교정,place_id+주소+전화 동일·DB좌표 835m 이격,운영 200
saengdal-saha-cheramie,쉐라미과자점,9842611,부산 사하구 낙동대로 238,051-208-0033,35.1017204,128.978171,9842611,1974쉐라미,부산 사하구 낙동대로 238,부산 사하구 괴정동 932-22,051-208-0033,35.0996782,128.9910533,1166,MATCH,MATCH,MISMATCH,db_coordinate_off,FIX_READY_COORDINATE_ONLY,P0_FIX_READY,lat;lng,address;name;phone,주소(낙동대로 238) 재지오코딩 좌표 교정,place_id+주소+전화 동일(Kakao명 1974쉐라미 동일업장)·DB좌표 1166m,운영 200
saengdal-suyeong-sushibashiku,스시바시쿠,629144469,부산 수영구 민락동 168-13,0507-1384-6223,35.1585693,129.127121,629144469,스시바시쿠,부산 수영구 광안해변로255번길 45,부산 수영구 민락동 168-13,,35.1569712,129.1208122,588,MATCH,MATCH,MISMATCH,db_coordinate_off,FIX_READY_COORDINATE_ONLY,P0_FIX_READY,lat;lng,address;name,DB지번=Kakao지번 일치·좌표 재지오코딩 교정,place_id 일치·db지번=kakao지번(민락동 168-13)·DB좌표 588m,운영 200·도로명(광안해변로255번길 45) 보강 가능
saengsaeng-sasang-jurye-suyuk-kalguksu,주례수육칼국수 2호점,1664107638,부산 사상구 가야대로 290-18,,35.149902,128.9876402,1664107638,주례수육칼국수 2호점,부산 사상구 가야대로 290-18,부산 사상구 주례동 509-9,0502-5553-2589,35.1496672,129.0046757,1513,MATCH,MATCH,MISMATCH,db_coordinate_off;phone_missing,FIX_READY_COORDINATE_ONLY,P0_FIX_READY,lat;lng;phone,address;name,좌표 재지오코딩 교정 + 전화(0502-5553-2589) 보강,place_id+주소 동일·DB좌표 1513m·DB전화 누락,운영 200·phone backfill 가능
samdae-seomyeon-gijang-son-kalguksu,기장손칼국수,11495457,부산 부산진구 서면로 56,051-806-6832,35.1507871,129.0580262,11495457,기장손칼국수,부산 부산진구 서면로 56,부산 부산진구 부전동 256-6,051-806-6832,35.1555085,129.0583003,525,MATCH,MATCH,MISMATCH,db_coordinate_off,FIX_READY_COORDINATE_ONLY,P0_FIX_READY,lat;lng,address;name;phone,주소(서면로 56) 재지오코딩 좌표 교정,place_id+주소+전화 동일·DB좌표 525m 이격,운영 200
wonjo-gaya-milmyeon,원조가야밀면,505835564,부산 사하구 낙동대로451번길 33,,35.107073,128.966453,505835564,원조가야밀면,부산 사하구 낙동대로451번길 33,부산 사하구 하단동 620-5,,35.1036816,128.9701903,502,MATCH,MATCH,MISMATCH,db_coordinate_off,FIX_READY_COORDINATE_ONLY,P0_FIX_READY,lat;lng,address;name,주소(낙동대로451번길 33) 재지오코딩 좌표 교정,place_id+주소 동일·DB좌표 502m 이격,운영 200·전화 양쪽 없음
pungja-namgu-hapcheon-gukbap,합천국밥집,1420643780,부산 남구 용호로 235,,35.1258388,129.1108246,1420643780,합천국밥집,부산 남구 용호로 237,부산 남구 용호동 554-4,051-622-4898,35.1111169,129.1113179,1635,MATCH,MISMATCH,MISMATCH,db_coordinate_off;address_minor_diff;phone_missing,FIX_READY_ADDRESS_AND_COORDINATE,P0_FIX_READY,lat;lng;address;phone,name,Kakao(용호로 237·좌표·051-622-4898)로 교정+전화 보강,place_id 일치·번지 235→237·DB좌표 1635m·DB전화 누락,운영 200
baekban-haeundae-yangs-yanggopchang,양가네 양곱창,15897470,부산 해운대구 구남로8번길 7-3,051-741-1157,35.1615796,129.1565308,15897470,양가네양곱창,부산 수영구 감포로 106,부산 수영구 광안동 44-18,051-741-1157,35.1679407,129.1178399,3508,MATCH,MISMATCH,MISMATCH,kakao_address_wrong,KAKAO_UNRELIABLE_REVIEW,P0_REVIEW,,address;lat;lng,DB(해운대) 유지·Kakao keyword 결과 불신,place_id 동일하나 Kakao=수영구 / 식신·다이닝코드=해운대 우동(DB일치)·전화 동일 → Kakao 오류 의심,즉시 수정 금지
baekban-yeongdo-jinju-sikdang,진주식당,21319289,부산 영도구 대평로 16,051-412-6799,35.0916371,129.0342407,21319289,진주식당,부산 영도구 절영로14번길 2,부산 영도구 봉래동1가 94-3,051-416-5948,35.0932093,129.0399487,536,MATCH,MISMATCH,MISMATCH,relocation_suspected,BUSINESS_REVIEW,P0_REVIEW,,address;lat;lng;phone,이전 여부 확인 후 교정,place_id 일치하나 도로명 상이(대평로16↔절영로14번길2)+전화 상이 → 이전/상호변경 의심,즉시 수정 금지
sungsik-seomyeon-yanggopchang,문화양곱창,8988183,부산 부산진구 지게골로 75,051-345-0001,35.1601,129.0571,8988183,문화양곱창,부산 부산진구 가야대로784번길 56-8,부산 부산진구 부전동 519-18,051-804-5140,35.1550308,129.0567126,564,MATCH,MISMATCH,MISMATCH,relocation_suspected,BUSINESS_REVIEW,P0_REVIEW,,address;lat;lng;phone,이전 여부 확인 후 교정,place_id 일치하나 도로명 완전 상이(지게골로75↔가야대로784번길56-8)+전화 상이 → 이전 의심,즉시 수정 금지
hibab-cheongsa-hoe-center,청사포 도희네 조개구이,510744836,부산 해운대구 청사포로 157,051-704-0113,35.1624398,129.1942259,887616579,도희네,부산 해운대구 청사포로 12,부산 해운대구 좌동 1450,051-701-9078,35.1665917,129.1831902,1083,MISMATCH,MISMATCH,MISMATCH,place_id_mismatch,BUSINESS_REVIEW,P0_REVIEW,,address;lat;lng;phone;name,db_place_id↔Kakao place_id 일치 여부 재확인,db 510744836 ≠ kakao 887616579(이름매칭 도희네)·청사포로 157↔12·dist 1083m,즉시 수정 금지
matnyuk-sasang-doejigalbi,시골집명품석갈비,1045757902,부산 사상구 괘법동 549,051-012-3456,35.1544,128.9921,17710705,시골집명품석갈비,부산 사상구 낙동대로1210번길 82,부산 사상구 괘법동 523-3,051-315-0709,35.1670253,128.9811468,1706,MISMATCH,MISMATCH,MISMATCH,place_id_mismatch;phone_placeholder,BUSINESS_REVIEW,P0_REVIEW,,address;lat;lng;phone;name,place_id 재확인 + db_phone(051-012-3456 placeholder) 별도 검토,db 1045757902 ≠ kakao 17710705·db전화 가짜패턴·dist 1706m,즉시 수정 금지
