slug,name,is_public,area,category,db_place_id,db_address,db_phone,db_lat,db_lng,kakao_place_id,kakao_name,kakao_road_address,kakao_address,kakao_phone,kakao_lat,kakao_lng,address_status,coordinate_status,phone_status,trust_source_count,trust_source_status,recommended_action,priority,notes
2tv-bupyeong-kkang-dwaehu,깡돼후,true,남포동,고기,213124109,부산광역시 중구 부평1길 57,051-244-2019,35.1020694937165,129.025774963819,213124109,깡돼후야시장,부산 중구 부평1길 57,부산 중구 부평동2가 75-1,051-244-2019,35.102069493716535,129.02577496381926,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
2tv-gumjeong-geumjukheon,금죽헌 금정산성점,true,기타,한식,,부산 금정구 산성로 531 1층,0507-1347-5448,35.2441819922083,129.056711994585,1229339566,금죽헌 금정산성점,부산 금정구 산성로 531,부산 금정구 금성동 928-2,0503-7153-6423,35.2441692502157,129.056686942073,SAME_PLACE_ADDRESS_VARIANT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,Kakao 검색 id≠db_place_id(이름매칭) / dist=3m
2tv-gwangan-kuromatsu,구로마쯔,true,광안리,일식,1553493687,부산 수영구 광안해변로 189 센트럴베이호텔 3층,0507-1371-7816,35.1514786694312,129.116434385139,1553493687,구로마쯔 광안점,부산 수영구 광안해변로 189,부산 수영구 광안동 197-2,051-753-7792,35.1514786694312,129.116434385139,SAME_PLACE_ADDRESS_VARIANT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
2tv-sasang-yeonghui-halmae-jaecheopguk,할매재첩국,true,사상,한식,1531629877,부산 사상구 낙동대로1530번길 20-15,051-301-5321,35.1932538311197,128.986217549641,1531629877,할매재첩국,부산 사상구 낙동대로1530번길 20-15,부산 사상구 삼락동 69-4,051-301-5321,35.19325383111974,128.98621754964088,EXACT_CURRENT,EXACT_CURRENT,,1,,NO_ACTION,P3,dist=0m
ansungjae-yeonje-mapobonga,마포본가,true,연제,고기,17981818,부산 연제구 월드컵대로111번길 10,,35.183981,129.082174,17981818,마포본가,부산 연제구 월드컵대로111번길 10,부산 연제구 연산동 708-9,051-867-9252,35.1839806679219,129.082174348441,EXACT_CURRENT,EXACT_CURRENT,PHONE_BACKFILL_READY,0,BROADCAST_SOURCE_MISSING,PHONE_BACKFILL,P2,dist=0m
baekban-dongnae-pajeon,동래할매파전,true,동래,한식,10305625,부산 동래구 명륜로94번길 43-10,051-567-8901,35.2045,129.0817,10305625,동래할매파전,부산 동래구 명륜로94번길 43-10,부산 동래구 복천동 367-2,0502-5551-2013,35.20456573653352,129.08384831466842,EXACT_CURRENT,SAME_PLACE_ADDRESS_VARIANT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=191m
baekban-haeundae-yangs-yanggopchang,양가네 양곱창,true,해운대,고기,15897470,부산 해운대구 구남로8번길 7-3,051-741-1157,35.1615796,129.1565308,15897470,양가네양곱창,부산 수영구 감포로 106,부산 수영구 광안동 44-18,051-741-1157,35.167940650076716,129.1178399233333,ADDRESS_MISMATCH,COORDINATE_MISMATCH,,0,BROADCAST_SOURCE_MISSING,ADDRESS_FIX_REVIEW,P0,dist=3508m
baekban-namgu-chossijib,궁중해물탕 조씨집 대연본점,true,남구,해산물,11552847,부산 남구 진남로 7-11,051-627-4749,35.1355345,129.0912059,,,,,,,,PLACE_LOOKUP_FAILED,PLACE_LOOKUP_FAILED,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,Kakao 매칭 실패
baekban-nampo-18-wandang,18번완당집,true,남포동,한식,26940615,부산 중구 비프광장로 31,051-245-0018,35.0988563,129.0286212,7931954,18번완당집,부산 중구 비프광장로 31,부산 중구 남포동3가 1-1,051-245-0018,35.098942419469,129.028468480826,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,Kakao 검색 id≠db_place_id(이름매칭) / dist=17m
baekban-nampo-subok-centa,수복센타,true,남포동,한식,11128820,부산 중구 남포길 25-3,051-245-9986,35.098888,129.031431,11128820,수복센타,부산 중구 남포길 25-3,부산 중구 남포동2가 15-1,051-245-9986,35.09888829266081,129.0314310282674,EXACT_CURRENT,EXACT_CURRENT,,0,BROADCAST_SOURCE_MISSING,SOURCE_BACKFILL,P2,dist=0m
