priority,slug,name,area,category,main_menu,source_title,broadcast_date,thumbnail_status,recommended_action,note
1,saengdal-jeonpo-toda-park,토다공원,서면,일식,몬자야키/오코노미야키,SBS 생활의 달인,2026-05-04,none,safe_photo_search_candidate,공식 인스타 @toda_park(스캔 SAFE)
2,saengdal-bukgu-shunsaikubo,슌사이쿠보 화명,북구,아시안,히츠마부시,생활의달인,2026-04-20,none,operator_photo_needed,공식채널 없음(플랫폼만)
3,oneuln-nampo-sammi-jip,삼미집,남포동,한식,소갈비찜탕/닭계장,MBC 오늘N,2026-04-09,none,operator_photo_needed,국제시장 노포 공식채널 없음
4,2tv-bupyeong-kkang-dwaehu,깡돼후,남포동,고기,돼지갈비후라이드,KBS 2TV 생생정보,2026-04-08,none,operator_photo_needed,공식채널 없음
5,saengdal-gijang-ilgwangdang,일광당,기장,베이커리/디저트,찐빵·만두,생활의달인,2026-04-06,none,operator_photo_needed,노포 공식채널 없음
6,saengdal-gijang-jeil-bunsik,제일분식,기장,분식/길거리,군만두,생활의달인,2026-03-30,none,operator_photo_needed,노포 공식채널 없음
7,saengdal-gwangalli-jin-doejigomtang,진돼지곰탕,광안리,돼지국밥,돼지곰탕,생활의달인,2026-03-23,none,operator_photo_needed,공식채널 없음(미쉐린 등재)
8,saengdal-centum-bulbaek-gosurak,불백고수락 센텀본점,해운대,한식,돈카츠/불백,SBS 생활의 달인,2026-02-23,none,safe_photo_search_candidate,점주 스레드 @bulbaekgosurack7(스캔 SAFE)
9,baekban-yeonje-godeungeo-datchi,고등어다찌 연산본점,연제,회,모둠회,식객 허영만의 백반기행,2026-02-22,none,operator_photo_needed,공식채널 없음
10,hanyakbang-gukbap-hyeongje-food,한약방돼지국밥 형제식품,서면,돼지국밥,돼지국밥,전현무계획3,2026-01-09,none,safe_photo_search_candidate,공식 인스타 @hanyakbang_gukbap(스캔 SAFE)
11,mulkkong-sikdang,물꽁식당,남포동,해산물,아구찜,6시내고향,2025-12-23,none,safe_photo_search_candidate,VisitBusan 공공 페이지(스캔 SAFE)
12,saengdal-haeundae-amisan,아미산,해운대,중식,해물누룽지탕,생활의달인,2025-08-18,none,safe_photo_search_candidate,공식홈 chineserestaurant.co.kr 직접 이미지(최강 SAFE)
13,saengdal-namgu-daeyeon-milmyeon,대연밀면,남구,밀면,물밀면,생활의달인,2025-08-18,none,operator_photo_needed,공식채널 없음
14,saengdal-yeonje-gukje-milmyeon,국제밀면 본점,연제,밀면,물밀면,생활의달인,2025-08-18,none,operator_photo_needed,공식채널 없음(블루리본)
15,baekhwa-yanggopchang-1ho,백화양곱창 1호,남포동,한식,양곱창,쯔양,2025-07-09,none,operator_photo_needed,공식 SNS 불명확
