status,slug,name,area,category,address,lat,lng,kakao_map_url,main_menu,price_text,description,source_type,source_title,episode_title,broadcast_date,video_url,duplicate_check,note
ready_to_register,jeonhyun-gwangalli-biwa-suljan,비와술잔,광안리,일식,부산 수영구 황령대로489번길 49-8 1층,,,,이모카세 코스,"이모카세 35,000원(스페셜 50,000원)","일본 15년 경력 사장의 이모카세(이모님+오마카세) 다찌 전문점",youtube,전현무계획2,9화 부산 이모카세,2024-12-13,https://www.youtube.com/watch?v=pYNlYhN8ebQ,unique,"DATA-F1 재수집(미등록). 채널S 공식 유튜브. 가격 출처 간 35,000/39,000 차이"
ready_to_register,jeonhyun-yeongdo-watda-sikdang,왔다식당,영도,고기,부산 영도구 하나길 811,,,,스지수육·스지된장전골,"전골 1인 14,000원 / 스지수육(소) 45,000원","곽튜브도 극찬한 영도 숨은 한우 스지(소 힘줄) 수육·전골 노포",tv,전현무계획2,8화 부산 로컬맛집,2024-11-29,https://www.gukjenews.com/news/articleView.html?idxno=3148274,unique,주소·가격 다이닝코드/블로그 보강
ready_to_register,jeonhyun-gwangalli-yeonhap-hoejip,연합횟집,광안리,회,부산 수영구 남천1동 192,,,,세로썰기 숙성회·점심특선 회세트,"코스 35,000원~ / 회세트(2인) 55,000원","생선을 세로로 얇게 써는 세로썰기 숙성회를 3대째 잇는 남천동 횟집",tv,전현무계획2,8화 부산 로컬맛집,2024-11-29,https://www.gukjenews.com/news/articleView.html?idxno=3148274,unique,가격 출처 간 표기 상이
ready_to_register,jeonhyun-nampo-yeosongje,여송제,남포동,한식,부산 중구 광복로18번길 5,,,,냉채족발·특별한족발,"(소) 35,000원 / (대) 50,000원","남포동 부평 족발골목 30년 전통, 냉채족발이 대표",tv,전현무계획2,9화 부산 남포동 냉채족발,2024-12-13,https://www.gukjenews.com/news/articleView.html?idxno=3159804,unique,DATA-F1 재수집(미등록)
ready_to_register,jeonhyun-nampo-mullebanga-jeukseokgui,물레방아 즉석구이,남포동,고기,부산 중구 중앙대로41번길 11-1,,,,안금무(안거미·토시살) 즉석구이,"안금무 32,000원","소 한 마리 500g만 나오는 안금무(토시살) 즉석구이 40년 노포",youtube,전현무계획2,8화 부산 안금무 노포,2024-11-29,https://www.youtube.com/watch?v=6DjVCwFEA9c,unique,중앙동 소재(인접 남포동 분류). 채널S 공식 유튜브
ready_to_register,2tv-sasang-yeonghui-halmae-jaecheopguk,영희할매재첩국,사상,한식,부산 사상구 낙동대로1530번길 20-15,,,,재첩국·재첩회·재첩비빔밥,"재첩국 약 7,000원","1975년 3대째 삼락동 재첩골목 원조 재첩국집",tv,2TV 생생정보,할매 밥 됩니까 - 재첩국,2026-04-07,https://www.youtube.com/watch?v=irxUUuuzqcc,unique,KBS 공식 유튜브 클립. 주소 다이닝코드
ready_to_register,baekban-seogu-yetnal-guksujip,옛날국수집,기타,분식/길거리,부산 서구 까치고개로160번길 54,,,,국수·비빔국수·사골설렁탕,"국수 5,000원 / 사골설렁탕 11,000원","아미동 비석마을 국수골목 73년 전통 국숫집(area 서구→기타)",tv,식객 허영만의 백반기행,242회 호탕하다 부산밥상,2024-04-07,https://2.violet097.com/entry/백반기행-부산-국수집-아미동-옛날국수집-73년-전통의-맛,unique,회차 위키 교차확인. 출처 블로그(상세)
ready_to_register,baekban-nampo-subok-centa,수복센타,남포동,한식,부산 중구 남포길 25-3,,,,스지어묵탕·광어 다타키,"스지어묵탕 38,000원 / 다타키 29,000원","약 80년 남포동 노포 술집, 진한 스지어묵탕이 명물",tv,식객 허영만의 백반기행,4회 단디 차린 부산밥상,2019-06-06,https://www.diningcode.com/profile.php?rid=xQpuUizjv4Mz,unique,오래된 방영(2019). 다이닝코드 출연기록·영업중 확인
ready_to_register,tzuyang-nampo-ijaemo-pizza,이재모피자 본점,남포동,양식,부산 중구 광복중앙로 31,,,,치즈크러스트피자·명품김치볶음밥,"피자 25,000~29,000원 / 김치볶음밥 11,000원","임실치즈 듬뿍 올린 부산 대표 오픈런 피자 노포",youtube,쯔양,부산 찐맛집 피자 먹방,2025,https://www.youtube.com/watch?v=ZNWbn49Wgq4,unique,정확 게시일 미확인. 본점 기준(부산역점 별도)
ready_to_register,tzuyang-haeundae-chopilsal,초필살돼지구이 해운대본점,해운대,고기,부산 해운대구 마린시티3로 23 벽산E오렌지프라자 A동 107호,,,,필살껍데기·소금오겹살·진짜뒷고기,"껍데기 9,500원 / 오겹살 12,000원","돼지껍데기로 유명한 마린시티 웨이팅 고깃집(블루리본)",youtube,쯔양,부산 먹방 여행 1편,2022-07-09,https://www.youtube.com/watch?v=0wqmQV3-DZg,unique,영상 제목 초필살껍데기(정식 초필살돼지구이)
ready_to_register,ansungjae-yeonje-mapobonga,마포본가,연제,고기,부산 연제구 월드컵대로111번길 10,,,,양념돼지갈비,"돼지갈비 1근(600g) 30,000원","초벌 없이 숯불에 굽는 양념돼지갈비 단일 메뉴 전문점",youtube,안성재 셰프 유튜브,김재훈 셰프 단골집 소개,2025-12-11,https://www.busan.com/view/busan/view.php?code=2025121109511500016,unique,출처=유튜브 다룬 부산일보 기사. 일반 방송맛집과 성격 다름(셰프 추천)
needs_geocoding,saengdal-gwangalli-baegil-pyeongnaeng,백일평냉,광안리,한식,부산 수영구 남천바다로10번길 29 1층,,,,평양냉면,(확인 필요),"미쉐린 가이드에 오른 부산 평양냉면 명가",tv,생활의 달인,은둔식달 부산 평양냉면,2025-07-28,https://enter.etoday.co.kr/news/view/281540,unique,가격 미확인. 좌표 필요
needs_geocoding,saengdal-seomyeon-dammiok,담미옥,서면,한식,부산 부산진구 복지로 15 개금포르투나 103호,,,,평양냉면,(확인 필요),"서울·부산 오가며 익힌 냉면을 담아낸 개금 평양냉면집",tv,생활의 달인,은둔식달 부산 평양냉면,2025-07-28,https://enter.etoday.co.kr/news/view/281540,unique,area 서면(부산진구 개금). 가격 미확인. 좌표 필요
needs_review,2tv-seomyeon-donje,돈제이 부산서면점,서면,고기,부산 부산진구 가야대로784번길 52 1층,,,,모둠 돼지구이·생삼겹 대패,"생삼겹대패 140g 13,000원","서면 모둠 돼지구이집",tv,2TV 생생정보,결정적 한 수 - 모둠 돼지고기,2025-11-12,https://www.etoday.co.kr/news/view/2524939,needs_review,"기사에서 상호 마스킹(돈○○)→네이버플레이스로 확인. 상호 재확인 권장"
needs_review,2tv-gijang-suhyang-agujjim,수향아구찜,기장,해산물,부산 기장군 기장읍 대변로 134-10,,,,생 아귀수육·생 아귀찜,"아귀수육 45,000~60,000원 / 아귀찜 35,000~50,000원","활·생아귀만 쓰는 대변항 아귀수육·아귀찜 전문점",tv,2TV 생생정보,할매 밥 됩니까 - 아귀수육,2025-08-14,https://www.etoday.co.kr/news/view/2497287,needs_review,"기사에서 상호 마스킹(수○○○○)→별도 출처로 확인. 상호 재확인 권장"
needs_review,2tv-yeongdo-baekseol-daehak,백설대학,영도,분식/길거리,부산 영도구 동삼로28번길 6,,,,유부김밥·쫄우동·만두떡볶이,"유부김밥 3,000원 / 쫄우동 6,000원","30년 경력 김밥 대가의 영도 종합분식집",tv,2TV 생생정보,대가의 일급정보 - 김밥 달인,,https://www.menutong.com/bbs/board.php?bo_table=sangto&wr_id=7162,needs_review,"방영일 미확인. 출처=생생정보 맛집DB(menutong)"
needs_review,baekban-nampo-hanwol-sikdang,한월식당,남포동,한식,부산 중구 자갈치해안로 27,,,,생선구이 백반,(확인 필요),"자갈치시장 6가지 생선구이 한 상 노포",tv,식객 허영만의 백반기행,4회 단디 차린 부산밥상,2019-06-06,https://blog.daum.net/happymeals/2003,needs_review,"오래된 방영(2019). 출처 블로그. 영업/가격 재확인 필요"
duplicate_review,baekban-gijang-haedong-hoejip,해동횟집,기장,회,부산 기장군 기장읍 기장해안로 603,,,,멸치회·멸치찌개·멸치튀김,"멸치회 20,000원 / 멸치 2인세트 50,000원","기장 대변항 봄멸치 코스 전문점",tv,식객 허영만의 백반기행,242회 호탕하다 부산밥상,2024-04-07,https://2.violet097.com/entry/백반기행-멸치회-해동횟집-부산밥상-기장-멸치-코스-요리,duplicate_review,"기존 '기장 멸치쌈밥'과 동일 식당 가능성(같은 기장 멸치요리). 운영자 확인 후 등록/제외"
