source_group,source_name,source_year,selection_grade,official_restaurant_name,matched_restaurant_name,matched_slug,match_status,kakao_place_id,address,phone,official_url,classification,reason,proposed_slug,recommended_image_filename
busan_official,2026 부산의 맛,2026,수록,(한글상호 미추출-전화매칭),고등어다찌 연산본점,baekban-yeonje-godeungeo-datchi,MATCHED_PHONE,12743016,부산 연제구 고분로31번길 42,051-853-9374,https://www.visitbusan.net/board/download.do?boardId=BBS_0000007&dataSid=5445,EXISTING_LINKABLE,부산공식+방송(tv). trust_sources 로 출처 추가,,
busan_official,2026 부산의 맛,2026,수록,(한글상호 미추출-전화매칭),국제밀면 본점,saengdal-yeonje-gukje-milmyeon,MATCHED_PHONE,25041331,부산 연제구 중앙대로1235번길 23-6,051-501-5507,https://www.visitbusan.net/board/download.do?boardId=BBS_0000007&dataSid=5445,EXISTING_LINKABLE,부산공식+방송(tv),,
busan_official,2026 부산의 맛,2026,수록,(한글상호 미추출-전화매칭),물꽁식당,mulkkong-sikdang,MATCHED_PHONE,11891969,부산 중구 흑교로59번길 3,051-257-3230,https://www.visitbusan.net/board/download.do?boardId=BBS_0000007&dataSid=5445,EXISTING_LINKABLE,부산공식+방송(tv),,
busan_official,2026 부산의 맛,2026,수록,(한글상호 미추출-전화매칭),백일평냉,saengdal-gwangalli-baegil-pyeongnaeng,MATCHED_PHONE,1174747976,부산 수영구 남천바다로10번길 29,051-625-5515,https://www.visitbusan.net/board/download.do?boardId=BBS_0000007&dataSid=5445,EXISTING_LINKABLE,부산공식+방송(tv),,
busan_official,2026 부산의 맛,2026,수록,(한글상호 미추출-전화매칭),신발원,samdaecheonwang-shinbalwon,MATCHED_PHONE,8407645,부산 동구 대영로243번길 62,051-467-0177,https://www.visitbusan.net/board/download.do?boardId=BBS_0000007&dataSid=5445,EXISTING_LINKABLE,부산공식+방송(tv),,
busan_official,2026 부산의 맛,2026,수록,(한글상호 미추출-전화매칭),쌍둥이돼지국밥 본점,saengdal-ssangdungyi-doejigukbap,MATCHED_PHONE,349525135,부산 남구 유엔평화로 35-1,051-628-7021,https://www.visitbusan.net/board/download.do?boardId=BBS_0000007&dataSid=5445,EXISTING_LINKABLE,부산공식+방송(tv),,
busan_official,2026 부산의 맛,2026,수록,(한글상호 미추출-전화매칭),원조할매낙지,samdae-seomyeon-wonjo-halmae-nakji,MATCHED_PHONE,8035148,부산 부산진구 골드테마길 10,051-643-5037,https://www.visitbusan.net/board/download.do?boardId=BBS_0000007&dataSid=5445,EXISTING_LINKABLE,부산공식+방송(tv),,
busan_official,2026 부산의 맛,2026,수록,(한글상호 미추출-전화매칭),해변짚불곰장어,bapsang-gijang-haebyeon-jipbul-gomjangeo,MATCHED_PHONE,10020270,부산 기장군 기장읍 공수2길 11,051-721-4539,https://www.visitbusan.net/board/download.do?boardId=BBS_0000007&dataSid=5445,EXISTING_LINKABLE,부산공식+방송(tv),,
busan_official,2026 부산의 맛,2026,수록,(한글상호 미추출-전화매칭),김유순대구뽈찜전문점,kimyusun-daegu-bbol-jjim,MATCHED_PHONE,8116757,부산 남구 진남로 15,051-627-4319,https://www.visitbusan.net/board/download.do?boardId=BBS_0000007&dataSid=5445,EXISTING_LINKABLE,부산공식+유튜브,,
busan_official,2026 부산의 맛,2026,수록,(한글상호 미추출-전화매칭),이재모피자 본점,tzuyang-nampo-ijaemo-pizza,MATCHED_PHONE,10070964,부산 중구 광복중앙로 31,051-255-9494,https://www.visitbusan.net/board/download.do?boardId=BBS_0000007&dataSid=5445,EXISTING_LINKABLE,부산공식+유튜브,,
busan_official,2026 부산의 맛,2026,수록,(전화 132개 미매칭),,,UNMATCHED_PHONE,,,,https://www.visitbusan.net/board/download.do?boardId=BBS_0000007&dataSid=5445,REVIEW,한글상호 CID폰트로 미추출→개별 식별 불가. DB미등록 신규와 0507/전화차이 미포착 기존이 혼재. 상호 확보(OCR/수기) 선행 필요,,
