post_office,rec,name,classification,match_reason,matched_restaurant_name,matched_slug,current_source_type,kakao_place_id
부산우체국,1,다무치아,READY_FOR_IMAGE,kakao_verified,,,,1297139609
부산우체국,2,된장한상,READY_FOR_IMAGE,kakao_verified,,,,715154557
부산우체국,3,황태를벗삼아,READY_FOR_IMAGE,kakao_verified,,,,19337206
부산우체국,4,분식회계,REVIEW,kakao_no_match,,,,
동래우체국,1,쿠루미과자점,READY_FOR_IMAGE,kakao_verified,,,,27364090
동래우체국,2,수안커피컴퍼니,READY_FOR_IMAGE,kakao_verified,,,,988686782
동래우체국,3,동래밀면,READY_FOR_IMAGE,kakao_verified,,,,12519573
동래우체국,4,영남식육식당 동래점,READY_FOR_IMAGE,kakao_verified,,,,21965019
동래우체국,5,봉식당,READY_FOR_IMAGE,kakao_verified,,,,1679524259
동래우체국,6,리바이브,READY_FOR_IMAGE,kakao_verified,,,,1838232516
동래우체국,7,더라이스,READY_FOR_IMAGE,kakao_verified,,,,161869871
동래우체국,8,베르,REVIEW,kakao_gu_mismatch,,,,1853942946
남부산우체국,1,황령산 보쌈,READY_FOR_IMAGE,kakao_verified,,,,10966906
남부산우체국,2,스위스제과,READY_FOR_IMAGE,kakao_verified,,,,9224093
남부산우체국,3,구름고개카페,READY_FOR_IMAGE,kakao_verified,,,,16465882
남부산우체국,4,소바재우재,READY_FOR_IMAGE,kakao_verified,,,,1280383204
남부산우체국,5,지밀레니얼,READY_FOR_IMAGE,kakao_verified,,,,279644293
남부산우체국,6,구자윤 과자점,READY_FOR_IMAGE,kakao_verified,,,,26428257
남부산우체국,7,부산돼지국밥,READY_FOR_IMAGE,kakao_verified,,,,15894478
남부산우체국,8,금강 복아구전문점,READY_FOR_IMAGE,kakao_verified,,,,638676502
부산사상우체국,1,수연이네,READY_FOR_IMAGE,kakao_verified,,,,1264144799
부산사상우체국,2,호포장어마을,READY_FOR_IMAGE,kakao_verified,,,,9603663
부산사상우체국,3,설화회초밥,READY_FOR_IMAGE,kakao_verified,,,,10486602
부산사상우체국,4,순풍삼계탕,READY_FOR_IMAGE,kakao_verified,,,,16669936
부산사상우체국,5,첨단돌솥감자탕 엄궁점,REVIEW,kakao_no_match,,,,
부산사상우체국,6,밥짓는부엌 한식뷔페,READY_FOR_IMAGE,kakao_verified,,,,1010027728
부산금정우체국,1,대박손칼국수,READY_FOR_IMAGE,kakao_verified,,,,24574146
부산금정우체국,2,유림정,READY_FOR_IMAGE,kakao_verified,,,,19375448
부산금정우체국,3,북문국수,READY_FOR_IMAGE,kakao_verified,,,,15713974
부산금정우체국,4,LAB 이흥용과자점 두실점,REVIEW,kakao_no_match,,,,
부산금정우체국,5,국수가,READY_FOR_IMAGE,kakao_verified,,,,16217388
부산금정우체국,6,강명장요리가,REVIEW,kakao_no_match,,,,
부산사하우체국,1,해주냉면,READY_FOR_IMAGE,kakao_verified,,,,21295360
부산사하우체국,2,남해영양보리밥,READY_FOR_IMAGE,kakao_verified,,,,1263759699
부산사하우체국,3,한우지존,READY_FOR_IMAGE,kakao_verified,,,,653379672
부산사하우체국,4,화반,READY_FOR_IMAGE,kakao_verified,,,,1568379577
