status,slug,name,before_published,after_published,price_before,price_after,broadcast_date_before,broadcast_date_after,thumbnail_status,public_url_status,note
published,jeonhyun-gwangalli-biwa-suljan,비와술잔,false,true,"이모카세 35,000원(스페셜 50,000원)","이모카세 35,000원(스페셜 50,000원)",2024-12-13,2024-12-13,missing,pending_check,
published,jeonhyun-yeongdo-watda-sikdang,왔다식당,false,true,"전골 1인 14,000원 / 스지수육(소) 45,000원","전골 1인 14,000원 / 스지수육(소) 45,000원",2024-11-29,2024-11-29,missing,pending_check,
published,jeonhyun-gwangalli-yeonhap-hoejip,연합횟집,false,true,"코스 35,000원~ / 회세트(2인) 55,000원","코스 35,000원~ / 회세트(2인) 55,000원",2024-11-29,2024-11-29,missing,pending_check,
published,jeonhyun-nampo-yeosongje,여송제,false,true,"(소) 35,000원 / (대) 50,000원","(소) 35,000원 / (대) 50,000원",2024-12-13,2024-12-13,missing,pending_check,
published,jeonhyun-nampo-mullebanga-jeukseokgui,물레방아 즉석구이,false,true,"안금무 32,000원","안금무 32,000원",2024-11-29,2024-11-29,missing,pending_check,
published,2tv-sasang-yeonghui-halmae-jaecheopguk,영희할매재첩국,false,true,"재첩국 약 7,000원","재첩국 약 7,000원",2026-04-07,2026-04-07,missing,pending_check,
published,baekban-seogu-yetnal-guksujip,옛날국수집,false,true,"국수 5,000원 / 사골설렁탕 11,000원","국수 5,000원 / 사골설렁탕 11,000원",2024-04-07,2024-04-07,missing,pending_check,
published,baekban-nampo-subok-centa,수복센타,false,true,"스지어묵탕 38,000원 / 다타키 29,000원","스지어묵탕 38,000원 / 다타키 29,000원",2019-06-06,2019-06-06,missing,pending_check,
published_with_date_fix,tzuyang-nampo-ijaemo-pizza,이재모피자 본점,false,true,"피자 25,000~29,000원 / 김치볶음밥 11,000원","피자 25,000~29,000원 / 김치볶음밥 11,000원",,2025-06-15,missing,pending_check,
published,tzuyang-haeundae-chopilsal,초필살돼지구이 해운대본점,false,true,"껍데기 9,500원 / 오겹살 12,000원","껍데기 9,500원 / 오겹살 12,000원",2022-07-09,2022-07-09,missing,pending_check,
published,ansungjae-yeonje-mapobonga,마포본가,false,true,"돼지갈비 1근(600g) 30,000원","돼지갈비 1근(600g) 30,000원",2025-12-11,2025-12-11,missing,pending_check,
published_with_price_fix,saengdal-gwangalli-baegil-pyeongnaeng,백일평냉,false,true,가격 확인 필요,"평양냉면 13,000원 / 이북만두 10,000원",2025-07-28,2025-07-28,missing,pending_check,
published_with_price_fix,saengdal-seomyeon-dammiok,담미옥,false,true,가격 확인 필요,"평양냉면(물) 13,000원 / 녹두전 8,000원",2025-07-28,2025-07-28,missing,pending_check,
