status,slug,name,published,area,category,address,lat,lng,kakao_map_url,thumbnail,source_type,source_title,video_url,duplicate_status,coordinate_status,field_status,note
pass,sungsik-gwangalli-haejin-anago,해진아나고,false,광안리,회/해산물,부산 수영구 광서로10번길 47,35.166280,129.113921,http://place.map.kakao.com/22205150,,youtube,성시경의 먹을텐데,https://www.youtube.com/watch?v=VkW3eo6C0fA,unique,ok,ok,"필수필드 OK·좌표 광안/수영 권역 일치·appearance 1·공개URL 404 정상. 방영일 보완 필요(연도만→비움), 이미지 미보유. creator_name 보완 권장(성시경)."
pass,sungsik-gwangalli-manujang,만우장,false,광안리,중식,부산 수영구 수영로594번길 28-2,35.158507,129.114813,,,youtube,성시경의 먹을텐데,https://www.youtube.com/watch?v=zA-F9EtsRJc,unique,ok,ok,"필수필드 OK·좌표 권역 일치·appearance 1·공개URL 404 정상. 방영일 2024-08-30 보유. kakao_map_url 비어있음(공개 페이지가 좌표로 자동 생성). 이미지 미보유. creator_name 보완 권장."
pass,tzuyang-gwangalli-darijip,다리집,false,광안리,분식/길거리,부산 수영구 남천바다로10번길 70 101호,35.146500,129.110687,http://place.map.kakao.com/8849564,,youtube,쯔양,https://www.busan.com/view/busan/view.php?code=2025080714534416582,unique,ok,ok,"필수필드 OK·좌표 권역 일치·appearance 1·공개URL 404 정상. 방영일 보완 필요. 이미지 미보유. creator_name 보완 권장(쯔양)."
pass,tzuyang-haeundae-sanggukine,상국이네,false,해운대,분식/길거리,부산 해운대구 구남로41번길 40-1 (해운대전통시장),35.162016,129.162877,http://place.map.kakao.com/9089301,,youtube,쯔양,https://www.busan.com/view/busan/view.php?code=2025080714534416582,unique,ok,ok,"필수필드 OK·좌표 해운대 권역 일치·appearance 1·공개URL 404 정상. 방영일 보완 필요. 이미지 미보유. creator_name 보완 권장(쯔양)."
pass,tzuyang-yeongdo-dongbang-milmyeon,동방밀면,false,영도,밀면,부산 영도구 꿈나무길 239,35.086684,129.043439,http://place.map.kakao.com/8914478,,youtube,쯔양,https://www.busan.com/view/busan/view.php?code=2025080714534416582,unique,ok,ok,"필수필드 OK·좌표 영도 권역 일치·appearance 1·공개URL 404 정상. 방영일 보완 필요. 이미지 미보유. creator_name 보완 권장(쯔양)."
pass,tzuyang-yeongdo-dongsamdong-buljjampong,동삼동불짬뽕,false,영도,중식,부산 영도구 동삼남로 21,35.077849,129.068051,http://place.map.kakao.com/19041717,,youtube,쯔양,https://www.busan.com/view/busan/view.php?code=2025080714534416582,unique,ok,ok,"필수필드 OK·좌표 영도 권역 일치·appearance 1·공개URL 404 정상. 방영일 보완 필요. 이미지 미보유. 가격 공식가 재확인 권장. creator_name 보완 권장(쯔양)."
pass,saengdal-gwangalli-boulangerie-lassence,블랑제리 라센,false,광안리,카페/베이커리,부산 수영구 남천바다로9번길 8,35.150353,129.112123,http://place.map.kakao.com/748130607,,tv,생활의 달인,https://www.lecturernews.com/news/articleView.html?idxno=167320,unique,ok,ok,"필수필드 OK·좌표 권역 일치·appearance 1·공개URL 404 정상. program_name(생활의 달인)·방영일 2024-12-02 보유. 이미지 미보유."
pass,tzuyang-gangseo-samseong-galmijogae,삼성갈미조개,false,기타,회/해산물,부산 강서구 르노삼성대로 602 2층,35.101555,128.929184,http://place.map.kakao.com/21843973,,youtube,쯔양,https://www.busan.com/view/busan/view.php?code=2025081316134398280,unique,ok,ok,"필수필드 OK·좌표 강서/명지 권역 일치(DATA-F2 오구간 문제 해소)·appearance 1·공개URL 404 정상. 방영일 보완 필요. 이미지 미보유. creator_name 보완 권장(쯔양)."
pass,tzuyang-seomyeon-dongchuni-mandu,동춘이만두,false,서면,분식/길거리,부산 부산진구 당감로25번길 11,35.164055,129.038947,http://place.map.kakao.com/27361254,,youtube,쯔양,https://www.busan.com/view/busan/view.php?code=2025081316134398280,unique,ok,ok,"필수필드 OK·좌표 부산진/당감 권역 일치(DATA-F2 미확보 좌표 확보됨)·appearance 1·공개URL 404 정상. 방영일 보완 필요. 이미지 미보유. creator_name 보완 권장(쯔양)."
missing,jeonhyun-namgu-suta-hyemi-kalguksu,수타혜미칼국수,,,,,,,,,,,,,,,"DB에 없음 — 등록되지 않았거나 등록 실패. 다른 slug/이름(혜미/수타/문현금융로)으로도 미존재, candidate_queue에도 없음. 공개URL 404. 재등록 필요(DATA-F2 블록 재사용 가능)."
