slug,name,input_file,published,had_thumbnail,action,status,width,height,output_file,storage_path,thumbnail_before,thumbnail_after,cache_busted,note
baekban-dongnae-pajeon,동래할매파전,baekban-dongnae-pajeon.jpg,true,false,new,uploaded_new,1280,853,baekban-dongnae-pajeon.webp,restaurants/baekban-dongnae-pajeon/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/baekban-dongnae-pajeon/main.webp,no,
baekban-haeundae-yangs-yanggopchang,양가네 양곱창,baekban-haeundae-yangs-yanggopchang.jpg,true,false,new,uploaded_new,1280,853,baekban-haeundae-yangs-yanggopchang.webp,restaurants/baekban-haeundae-yangs-yanggopchang/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/baekban-haeundae-yangs-yanggopchang/main.webp,no,
baekban-nampo-subok-centa,수복센타,baekban-nampo-subok-centa.jpg,true,false,new,uploaded_new,1280,960,baekban-nampo-subok-centa.webp,restaurants/baekban-nampo-subok-centa/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/baekban-nampo-subok-centa/main.webp,no,
baekban-seomyeon-marathon-jib,마라톤집,baekban-seomyeon-marathon-jib.jpg,true,false,new,uploaded_new,1280,1280,baekban-seomyeon-marathon-jib.webp,restaurants/baekban-seomyeon-marathon-jib/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/baekban-seomyeon-marathon-jib/main.webp,no,
baekban-yeongdo-jinju-sikdang,진주식당,baekban-yeongdo-jinju-sikdang.jpg,true,false,new,uploaded_new,762,572,baekban-yeongdo-jinju-sikdang.webp,restaurants/baekban-yeongdo-jinju-sikdang/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/baekban-yeongdo-jinju-sikdang/main.webp,no,
baekban-yeongdo-jungri-haenyeochon,영도 중리해녀촌,baekban-yeongdo-jungri-haenyeochon.jpg,true,false,new,uploaded_new,1280,1280,baekban-yeongdo-jungri-haenyeochon.webp,restaurants/baekban-yeongdo-jungri-haenyeochon/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/baekban-yeongdo-jungri-haenyeochon/main.webp,no,
baekban-yeonje-godeungeo-datchi,고등어다찌 연산본점,baekban-yeonje-godeungeo-datchi.jpg,true,false,new,uploaded_new,1024,1280,baekban-yeonje-godeungeo-datchi.webp,restaurants/baekban-yeonje-godeungeo-datchi/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/baekban-yeonje-godeungeo-datchi/main.webp,no,
ddoganjip-hapcheon-ilryu-dwaeji-gukbap,합천일류돼지국밥,ddoganjip-hapcheon-ilryu-dwaeji-gukbap.jpg,true,false,new,uploaded_new,1280,959,ddoganjip-hapcheon-ilryu-dwaeji-gukbap.webp,restaurants/ddoganjip-hapcheon-ilryu-dwaeji-gukbap/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/ddoganjip-hapcheon-ilryu-dwaeji-gukbap/main.webp,no,
hanyakbang-gukbap-hyeongje-food,한약방돼지국밥 형제식품,hanyakbang-gukbap-hyeongje-food.jpg,true,false,new,uploaded_new,1280,1073,hanyakbang-gukbap-hyeongje-food.webp,restaurants/hanyakbang-gukbap-hyeongje-food/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/hanyakbang-gukbap-hyeongje-food/main.webp,no,
hibab-cheongsa-hoe-center,청사포 회센터,hibab-cheongsa-hoe-center.jpg,true,false,new,uploaded_new,593,889,hibab-cheongsa-hoe-center.webp,restaurants/hibab-cheongsa-hoe-center/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/hibab-cheongsa-hoe-center/main.webp,no,
hoeguksu-halmaejip,회국수할매집,hoeguksu-halmaejip.jpg,true,false,new,uploaded_new,1280,853,hoeguksu-halmaejip.webp,restaurants/hoeguksu-halmaejip/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/hoeguksu-halmaejip/main.webp,no,
iganae-tteokbokki,이가네떡볶이 본점,iganae-tteokbokki.jpg,true,false,new,uploaded_new,1024,1140,iganae-tteokbokki.webp,restaurants/iganae-tteokbokki/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/iganae-tteokbokki/main.webp,no,
jeonhyun-nampo-yeosongje,여송제,jeonhyun-nampo-yeosongje.jpg,true,false,new,uploaded_new,851,632,jeonhyun-nampo-yeosongje.webp,restaurants/jeonhyun-nampo-yeosongje/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/jeonhyun-nampo-yeosongje/main.webp,no,
jeonhyun-yeongdo-watda-sikdang,왔다식당,jeonhyun-yeongdo-watda-sikdang.jpg,true,false,new,uploaded_new,1280,853,jeonhyun-yeongdo-watda-sikdang.webp,restaurants/jeonhyun-yeongdo-watda-sikdang/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/jeonhyun-yeongdo-watda-sikdang/main.webp,no,
live-today-samjin-eomuk,삼진어묵 본점,live-today-samjin-eomuk.jpg,true,false,new,uploaded_new,1023,1280,live-today-samjin-eomuk.webp,restaurants/live-today-samjin-eomuk/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/live-today-samjin-eomuk/main.webp,no,
matnyuk-sasang-doejigalbi,시골집명품석갈비,matnyuk-sasang-doejigalbi.jpg,true,false,new,uploaded_new,1024,884,matnyuk-sasang-doejigalbi.webp,restaurants/matnyuk-sasang-doejigalbi/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/matnyuk-sasang-doejigalbi/main.webp,no,
saengdal-bukgu-shunsaikubo,슌사이쿠보 화명,saengdal-bukgu-shunsaikubo.jpg,true,false,new,uploaded_new,1280,1280,saengdal-bukgu-shunsaikubo.webp,restaurants/saengdal-bukgu-shunsaikubo/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/saengdal-bukgu-shunsaikubo/main.webp,no,
saengdal-centum-bulbaek-gosurak,불백고수락 센텀본점,saengdal-centum-bulbaek-gosurak.jpg,true,false,new,uploaded_new,1280,1280,saengdal-centum-bulbaek-gosurak.webp,restaurants/saengdal-centum-bulbaek-gosurak/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/saengdal-centum-bulbaek-gosurak/main.webp,no,
saengdal-haeundae-amisan,아미산,saengdal-haeundae-amisan.jpg,true,false,new,uploaded_new,1280,1280,saengdal-haeundae-amisan.webp,restaurants/saengdal-haeundae-amisan/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/saengdal-haeundae-amisan/main.webp,no,
saengdal-haeundae-missaem-ssalbbang,미쌤쌀빵,saengdal-haeundae-missaem-ssalbbang.jpg,true,false,new,uploaded_new,1023,1280,saengdal-haeundae-missaem-ssalbbang.webp,restaurants/saengdal-haeundae-missaem-ssalbbang/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/saengdal-haeundae-missaem-ssalbbang/main.webp,no,
saengdal-jeonpo-toda-park,토다공원,saengdal-jeonpo-toda-park.jpg,true,false,new,uploaded_new,675,455,saengdal-jeonpo-toda-park.webp,restaurants/saengdal-jeonpo-toda-park/main.webp,,https://dnbkvchlytpvmtzisoux.supabase.co/storage/v1/object/public/restaurant-thumbnails/restaurants/saengdal-jeonpo-toda-park/main.webp,no,
