slug,name,area,category,kind,source_name,title,source_url,label,status
2tv-bupyeong-kkang-dwaehu,깡돼후,남포동,고기,tv,2TV 생생정보,요즘 시장 24시 - 부산 부평깡통시장 돼지갈비 후라이드,https://www.youtube.com/watch?v=MeYFEV_9a-E,방송 출연,to_insert
2tv-gumjeong-geumjukheon,금죽헌 금정산성점,기타,한식,tv,2TV 생생정보,맛집 맞수다 - 가족 외식 메뉴 최강자는? 소불고기전골,https://www.topstarnews.net/news/articleView.html?idxno=16052332,방송 출연,to_insert
2tv-gwangan-kuromatsu,구로마쯔,광안리,일식,tv,2TV 생생정보,장PD의 AI 여행기 - 부산 광안리 오션뷰 철판 코스 맛집,https://bokjiyao.com/broadcast-restaurant-kbs-7707/,방송 출연,to_insert
baekban-dongnae-pajeon,동래할매파전,동래,한식,tv,백반기행,부산 동래 편 — 60년 전통,https://www.youtube.com/watch?v=elOwgw2C__o,방송 출연,to_insert
baekban-haeundae-yangs-yanggopchang,양가네 양곱창,해운대,고기,tv,식객 허영만의 백반기행,찐 부산인 정우가 알려주는 부산사투리 (145회),,방송 출연,to_insert
baekban-namgu-chossijib,궁중해물탕 조씨집 대연본점,남구,해산물,tv,식객 허영만의 백반기행,식객 허영만의 백반기행,https://www.youtube.com/watch?v=wF6IgszT6Kw,방송 출연,to_insert
baekban-nampo-18-wandang,18번완당집,남포동,한식,tv,식객 허영만의 백반기행,식객 허영만의 백반기행,https://www.youtube.com/watch?v=T7c5MKVlemc,방송 출연,to_insert
baekban-nampo-subok-centa,수복센타,남포동,한식,tv,식객 허영만의 백반기행,4회 단디 차린 부산밥상,https://www.diningcode.com/profile.php?rid=xQpuUizjv4Mz,방송 출연,to_insert
baekban-seogu-yetnal-guksujip,옛날국수집,기타,분식/길거리,tv,식객 허영만의 백반기행,242회 호탕하다 부산밥상,https://2.violet097.com/entry/백반기행-부산-국수집-아미동-옛날국수집-73년-전통의-맛,방송 출연,to_insert
baekban-seomyeon-marathon-jib,마라톤집,서면,한식,tv,식객 허영만의 백반기행,식객 허영만의 백반기행,https://www.youtube.com/watch?v=9aYaacYvVp4,방송 출연,to_insert
baekban-seomyeon-masan-sikdang,마산식당,서면,돼지국밥,tv,식객 허영만의 백반기행,맑게 우려낸 국물 깊은 맛의 돼지국밥 (336회),,방송 출연,to_insert
baekban-yeongdo-gamasot-doejigukbap,가마솥돼지국밥 영도점,영도,돼지국밥,tv,식객 허영만의 백반기행,식객 허영만의 백반기행,https://www.youtube.com/watch?v=YP-SCqkcut0,방송 출연,to_insert
baekban-yeongdo-jinju-sikdang,진주식당,영도,한식,tv,식객 허영만의 백반기행,부산 속살 맛보러 오이소! 진짜배기 부산 밥상 (61회),,방송 출연,to_insert
baekban-yeongdo-jungri-haenyeochon,영도 중리해녀촌,영도,해산물,tv,식객 허영만의 백반기행,부산 속살 맛보러 오이소! 진짜배기 부산 밥상 (61회),,방송 출연,to_insert
baekhwa-yanggopchang-1ho,백화양곱창 1호,남포동,한식,youtube,쯔양,여기가 제 부산1등 입니다.. 이모님과 손님들 모두가 놀란 양곱창 이모카세 먹방,"https://youtu.be/MMnivNofP0M
",YouTube 출연,to_insert
ddoganjip-hapcheon-ilryu-dwaeji-gukbap,합천일류돼지국밥,사상,돼지국밥,youtube,풍자 또간집,또간집 부산 국밥편,https://www.youtube.com/watch?v=qITTdfvaXmY,YouTube 출연,to_insert
ddoganjip-pungnyeon-gopchang,풍년곱창,남구,곱창,youtube,풍자 또간집,또간집 부산편,,YouTube 출연,to_insert
hibab-cheongsa-hoe-center,청사포 도희네 조개구이,해운대,해산물,youtube,히밥,부산 회 가성비 끝판왕,https://youtube.com/@heebab,YouTube 출연,to_insert
hoeguksu-halmaejip,회국수할매집,서면,한식,tv,식객 허영만의 백반기행,식객 허영만의 백반기행,https://programs.sbs.co.kr/culture/lifemaster/vod/55733/cu0207f0057200,방송 출연,to_insert
iganae-tteokbokki,이가네떡볶이 본점,남포동,분식/길거리,tv,백종원의 3대천왕,이가네떡볶이 방송 소개,https://programs.sbs.co.kr/enter/3kings/clip/53282/22000142252,방송 출연,to_insert
michinmatjip-seogu-sinchang-gukbap,신창국밥 본점,기타,돼지국밥,tv,미친맛집,부산 편,,방송 출연,to_insert
pungja-namgu-hapcheon-gukbap,합천국밥집,남구,돼지국밥,youtube,또간집,또간집,https://www.youtube.com/watch?v=qITTdfvaXmY,YouTube 출연,to_insert
pungja-nampo-milyangjib,밀양집,남포동,돼지국밥,youtube,또간집,부산 돼지국밥 1등 편,https://www.youtube.com/watch?v=qITTdfvaXmY,YouTube 출연,to_insert
