slug,name,area,category,source_type,source_title,program_name,creator_name,episode_title,broadcast_date,video_url,has_appearance,place_id,trust_kind,trust_source_name,trust_title,trust_url,trust_date,status,priority,backfill_candidate,notes
2tv-bupyeong-kkang-dwaehu,깡돼후,남포동,고기,tv,KBS 2TV 생생정보,2TV 생생정보,,요즘 시장 24시 - 부산 부평깡통시장 돼지갈비 후라이드,2026-04-08,https://www.youtube.com/watch?v=MeYFEV_9a-E,yes,213124109,tv,2TV 생생정보,요즘 시장 24시 - 부산 부평깡통시장 돼지갈비 후라이드,https://www.youtube.com/watch?v=MeYFEV_9a-E,2026-04-08,READY,P1,YES,
2tv-gumjeong-geumjukheon,금죽헌 금정산성점,기타,한식,tv,KBS 2TV 생생정보,2TV 생생정보,,맛집 맞수다 - 가족 외식 메뉴 최강자는? 소불고기전골,2026-05-05,https://www.topstarnews.net/news/articleView.html?idxno=16052332,yes,,tv,2TV 생생정보,맛집 맞수다 - 가족 외식 메뉴 최강자는? 소불고기전골,https://www.topstarnews.net/news/articleView.html?idxno=16052332,2026-05-05,READY,P1,YES,
2tv-gwangan-kuromatsu,구로마쯔,광안리,일식,tv,KBS 2TV 생생정보,2TV 생생정보,,장PD의 AI 여행기 - 부산 광안리 오션뷰 철판 코스 맛집,2026-05-16,https://bokjiyao.com/broadcast-restaurant-kbs-7707/,yes,1553493687,tv,2TV 생생정보,장PD의 AI 여행기 - 부산 광안리 오션뷰 철판 코스 맛집,https://bokjiyao.com/broadcast-restaurant-kbs-7707/,2026-05-16,READY,P1,YES,
ansungjae-yeonje-mapobonga,마포본가,연제,고기,youtube,안성재 셰프 유튜브,안성재 셰프 유튜브,,김재훈 셰프 단골집 소개,2025-12-11,https://www.busan.com/view/busan/view.php?code=2025121109511500016,yes,17981818,youtube,안성재 셰프 유튜브,김재훈 셰프 단골집 소개,https://www.busan.com/view/busan/view.php?code=2025121109511500016,2025-12-11,READY,P2,YES,
baekban-dongnae-pajeon,동래할매파전,동래,한식,tv,백반기행,백반기행,,부산 동래 편 — 60년 전통,2024-09-14,https://www.youtube.com/watch?v=elOwgw2C__o,yes,10305625,tv,백반기행,부산 동래 편 — 60년 전통,https://www.youtube.com/watch?v=elOwgw2C__o,2024-09-14,READY,P1,YES,
baekban-haeundae-yangs-yanggopchang,양가네 양곱창,해운대,고기,tv,식객 허영만의 백반기행,식객 허영만의 백반기행,,찐 부산인 정우가 알려주는 부산사투리 (145회),2022-03-25,,yes,15897470,tv,식객 허영만의 백반기행,찐 부산인 정우가 알려주는 부산사투리 (145회),,2022-03-25,READY,P1,YES,url 없음
baekban-namgu-chossijib,궁중해물탕 조씨집 대연본점,남구,해산물,tv,식객 허영만의 백반기행,식객 허영만의 백반기행,,,2026-02-22,https://www.youtube.com/watch?v=wF6IgszT6Kw,yes,11552847,tv,식객 허영만의 백반기행,,https://www.youtube.com/watch?v=wF6IgszT6Kw,2026-02-22,READY,P1,YES,
baekban-nampo-18-wandang,18번완당집,남포동,한식,tv,식객 허영만의 백반기행,식객 허영만의 백반기행,,,2020-07-24,https://www.youtube.com/watch?v=T7c5MKVlemc,yes,26940615,tv,식객 허영만의 백반기행,,https://www.youtube.com/watch?v=T7c5MKVlemc,2020-07-24,READY,P1,YES,
baekban-nampo-subok-centa,수복센타,남포동,한식,tv,식객 허영만의 백반기행,식객 허영만의 백반기행,,4회 단디 차린 부산밥상,2019-06-06,https://www.diningcode.com/profile.php?rid=xQpuUizjv4Mz,yes,11128820,tv,식객 허영만의 백반기행,4회 단디 차린 부산밥상,https://www.diningcode.com/profile.php?rid=xQpuUizjv4Mz,2019-06-06,READY,P1,YES,
baekban-seogu-yetnal-guksujip,옛날국수집,기타,분식/길거리,tv,식객 허영만의 백반기행,식객 허영만의 백반기행,,242회 호탕하다 부산밥상,2024-04-07,https://2.violet097.com/entry/백반기행-부산-국수집-아미동-옛날국수집-73년-전통의-맛,yes,964978610,tv,식객 허영만의 백반기행,242회 호탕하다 부산밥상,https://2.violet097.com/entry/백반기행-부산-국수집-아미동-옛날국수집-73년-전통의-맛,2024-04-07,READY,P1,YES,
baekban-seomyeon-marathon-jib,마라톤집,서면,한식,tv,식객 허영만의 백반기행,식객 허영만의 백반기행,,,2021-05-14,https://www.youtube.com/watch?v=9aYaacYvVp4,yes,8962822,tv,식객 허영만의 백반기행,,https://www.youtube.com/watch?v=9aYaacYvVp4,2021-05-14,READY,P1,YES,
baekban-seomyeon-masan-sikdang,마산식당,서면,돼지국밥,tv,식객 허영만의 백반기행,식객 허영만의 백반기행,,맑게 우려낸 국물 깊은 맛의 돼지국밥 (336회),2026-02-22,,yes,8960022,tv,식객 허영만의 백반기행,맑게 우려낸 국물 깊은 맛의 돼지국밥 (336회),,2026-02-22,READY,P1,YES,url 없음
baekban-yeongdo-gamasot-doejigukbap,가마솥돼지국밥 영도점,영도,돼지국밥,tv,식객 허영만의 백반기행,식객 허영만의 백반기행,,,2026-02-22,https://www.youtube.com/watch?v=YP-SCqkcut0,yes,15526776,tv,식객 허영만의 백반기행,,https://www.youtube.com/watch?v=YP-SCqkcut0,2026-02-22,READY,P1,YES,
baekban-yeongdo-jinju-sikdang,진주식당,영도,한식,tv,식객 허영만의 백반기행,식객 허영만의 백반기행,,부산 속살 맛보러 오이소! 진짜배기 부산 밥상 (61회),2020-07-24,,yes,21319289,tv,식객 허영만의 백반기행,부산 속살 맛보러 오이소! 진짜배기 부산 밥상 (61회),,2020-07-24,READY,P1,YES,url 없음
baekban-yeongdo-jungri-haenyeochon,영도 중리해녀촌,영도,해산물,tv,식객 허영만의 백반기행,식객 허영만의 백반기행,,부산 속살 맛보러 오이소! 진짜배기 부산 밥상 (61회),2020-07-24,,yes,273038784,tv,식객 허영만의 백반기행,부산 속살 맛보러 오이소! 진짜배기 부산 밥상 (61회),,2020-07-24,READY,P1,YES,url 없음
baekhwa-yanggopchang-1ho,백화양곱창 1호,남포동,한식,youtube,"tzuyang쯔양
",,쯔양,여기가 제 부산1등 입니다.. 이모님과 손님들 모두가 놀란 양곱창 이모카세 먹방,2025-07-09,"https://youtu.be/MMnivNofP0M
",yes,2061622071,youtube,쯔양,여기가 제 부산1등 입니다.. 이모님과 손님들 모두가 놀란 양곱창 이모카세 먹방,"https://youtu.be/MMnivNofP0M
",2025-07-09,READY,P1,YES,
ddoganjip-hapcheon-ilryu-dwaeji-gukbap,합천일류돼지국밥,사상,돼지국밥,youtube,풍자 또간집,풍자 또간집,풍자,또간집 부산 국밥편,2024-04-26,https://www.youtube.com/watch?v=qITTdfvaXmY,yes,10928210,youtube,풍자 또간집,또간집 부산 국밥편,https://www.youtube.com/watch?v=qITTdfvaXmY,2024-04-26,READY,P1,YES,
ddoganjip-pungnyeon-gopchang,풍년곱창,남구,곱창,youtube,풍자 또간집,풍자 또간집,풍자,또간집 부산편,,,yes,15291956,youtube,풍자 또간집,또간집 부산편,,,READY,P1,YES,url 없음
hanyakbang-gukbap-hyeongje-food,한약방돼지국밥 형제식품,서면,돼지국밥,tv,전현무계획3,전현무계획3,,부산 편 돼지국밥 맛집,2026-01-09,https://www.youtube.com/watch?v=jopCWT0ouHA,yes,2017689767,tv,전현무계획3,부산 편 돼지국밥 맛집,https://www.youtube.com/watch?v=jopCWT0ouHA,2026-01-09,READY,P2,YES,
hibab-cheongsa-hoe-center,청사포 도희네 조개구이,해운대,해산물,youtube,히밥,히밥,히밥,부산 회 가성비 끝판왕,2025-03-01,https://youtube.com/@heebab,yes,510744836,youtube,히밥,부산 회 가성비 끝판왕,https://youtube.com/@heebab,2025-03-01,READY,P1,YES,
hoeguksu-halmaejip,회국수할매집,서면,한식,tv,식객 허영만의 백반기행,식객 허영만의 백반기행,,,2017-05-08,https://programs.sbs.co.kr/culture/lifemaster/vod/55733/cu0207f0057200,yes,11260858,tv,식객 허영만의 백반기행,,https://programs.sbs.co.kr/culture/lifemaster/vod/55733/cu0207f0057200,2017-05-08,READY,P1,YES,
